country,year,fixed_broad_price_usd,fixed_broad_price,fixed_broad_price_ppp,mobile_broad_price_usd,mobile_broad_price,mobile_broad_price_ppp,fixed_broadband_subs,fixed_broadband_subs_alt,internet_users_pct,int_bandwidth,int_bandwidth_alt,int_bandwidth_i994u,int_bandwidth_i994B,mobile_subs,mobile_subs_i911,access_to_electricity,education_secondary_pct,education_tertiary_pct,electric_power_consumption,gdp_growth,gdp_per_capita,gdp_per_capita_constant,high_tech_exports,ict_goods_exports,inflation_gdp_deflator,labor_force_advanced_education,population,population_ages_15_64,population_density,regulatory_quality_estimate,research_development_expenditure,secure_internet_servers,urban_population_pct,wage_salaried_workers,region,log_fixed_broadband_subs,log_internet_users_pct,log_int_bandwidth,log_mobile_subs,log_fixed_broad_price,log_fixed_broad_price_usd,log_fixed_broad_price_ppp,log_mobile_broad_price,log_gdp_per_capita,log_population,log_population_density,log_secure_internet_servers,eap,eu,log_price_x_eap,log_price_x_eu,log_fixed_broad_price_lag1,log_mobile_broad_price_lag1,time_trend,time_trend_sq,post_covid
ARM,2010,32.37,11.52,68.14,5.18,1.47,12.84,93586.0,3.19288671267022,25.0,10547.0,3598.33481060552,14393.3392424221,123824.506615636,3865354.0,131.874825576119,99.8,90.3963600803793,50.5839875932926,1631.30583289543,2.2000000002151,3041.34450723339,2796.08143428043,4727643.0,0.75,7.76871548067652,68.547,3044800,69.9705705545878,106.947664207938,0.268946558237076,0.24139,9.85286389910667,64.3304164043132,52.6328776043875,EaP,11.44664676393084,3.258096538021482,9.263691547473178,15.167564085721029,2.5273273656719524,3.5076572927632825,4.236133434493478,0.9042181506398858,8.020383716648002,14.928946103952764,4.681646519004976,2.3844289989915,1,0,2.5273273656719524,0.0,,,0,0,0
ARM,2011,21.04,7.36,42.44,5.18,1.47,12.84,160573.0,5.49292214098522,32.0,26050.0,8911.25044513492,27847.6576410466,169248.161334754,3211215.0,109.850061797213,99.5,90.2399978637695,51.2949290708131,1716.70134416592,4.69999999867412,3349.55309771906,2943.83687119315,7448895.0,0.73,4.28154999826118,69.797,3027900,69.9991499247162,106.354056902002,0.246940597891808,0.27014,17.8341424749827,64.3207449145194,51.8896671911747,EaP,11.986510174487108,3.4965075614664802,10.167811434160654,14.982160239572835,2.1234584270966104,3.092858984284714,3.77138067562568,0.9042181506398858,8.116880714987715,14.923380198156904,4.676132314966113,2.9356713118348083,1,0,2.1234584270966104,0.0,2.5273273656719524,0.9042181506398858,1,1,0
ARM,2012,11.2,3.63,24.37,5.18,1.47,12.84,212053.0,7.25580730107633,37.5,30000.0,10265.0855697533,27373.5615193422,145100.67568548,3322837.0,113.697353797808,99.5,92.0871294900711,44.4855719494927,1804.50381931814,7.20000000096486,3511.56399687426,3159.75860786889,7581096.0,1.26,5.34580441814725,69.97,3024100,69.877939557455,106.220583069898,0.334273397922516,0.23853,28.7688899176615,64.3268379506998,52.5537305989108,EaP,12.264596238200419,3.6506582412937387,10.308985993422082,15.016329795019859,1.5325568680981427,2.501435951739211,3.2335673736111907,0.9042181506398858,8.164101533226702,14.92212441519471,4.674888236454909,3.393463885708379,1,0,1.5325568680981427,0.0,2.1234584270966104,0.9042181506398858,2,4,0
ARM,2013,10.99,3.35,23.37,5.18,1.47,12.84,243058.0,8.31673235203342,41.9,45600.0,15602.9834546785,37238.623996846,194522.651650883,3346275.0,114.499722499571,99.4,92.991693911866,44.8347790892711,1851.75380542687,3.3,3680.16692158886,3266.29882999873,9332592.0,0.16,3.36682464224465,70.175,3022000,69.6400159040937,106.146821215314,0.23518268764019,0.22216,52.2832561217737,64.3584061131466,53.6432696439266,EaP,12.401059491205844,3.758871825933971,10.727684925086583,15.023358643678185,1.4701758451005926,2.4840729690394228,3.193352867637115,0.9042181506398858,8.210985079155792,14.921429752721451,4.674200054800231,3.9756221377614396,1,0,1.4701758451005926,0.0,1.5325568680981427,0.9042181506398858,3,9,0
ARM,2014,10.1,3.01,21.53,5.18,1.47,12.84,272885.0,9.3376315946157,54.6228058583362,61528.0,21053.7697841037,38543.9185213343,225472.268538029,3459137.0,118.365417451689,99.7,95.1422776758471,47.7150849538629,1895.28170416086,3.60000000058993,3852.11800610384,3393.09252326884,9307631.0,0.26,2.30918242990974,74.514,3013800,69.3383433330299,105.858798735511,0.15851990878582,0.24151,60.3888778286549,64.4142934233291,53.84621857083,EaP,12.516809404537698,4.018593294465026,11.027263887367784,15.056529983047161,1.3887912413184778,2.4069451083182885,3.114847754444153,0.9042181506398858,8.25663797122797,14.918712630773157,4.671508324987037,4.117228675888965,1,0,1.3887912413184778,0.0,1.4701758451005926,0.9042181506398858,4,16,0
ARM,2015,8.37,2.5,20.5,5.18,1.47,12.84,286319.0,9.80149439763493,59.1008337674937,118187.0,40458.6918218239,68457.0576127417,225472.268538029,3464490.0,118.599112617962,100.0,94.6314347635673,48.7313687040259,1909.40557811356,3.19999999896625,3512.39350276709,3512.39350276709,11860132.0,0.15,1.21390990471085,76.864,3004600,68.961951131008,105.535651563049,0.189176842570305,0.25002,74.5523530586434,64.4929623431549,55.1867849140832,EaP,12.564865345439907,4.0960237144481555,11.680031855957703,15.058076282268742,1.252762968495368,2.2375130962503307,3.068052935133617,0.9042181506398858,8.164337659305383,14.91565533843341,4.668479685591591,4.324825833947078,1,0,1.252762968495368,0.0,1.3887912413184778,0.9042181506398858,5,25,0
ARM,2016,8.32,2.57,19.79,5.18,1.47,12.84,299170.0,10.2497847569184,64.3460297653742,111054.0,38047.9191227333,59130.1736276005,225472.268538029,3434567.0,117.670797483754,99.8,93.9730352238513,54.3432877365993,1889.85061658256,0.199999999825991,3524.42476874707,3533.88503607007,21845447.0,0.18,0.268575076501392,74.624,2992300,68.5339571072627,105.103617843344,0.20515838265419,0.23305,186.144437389299,64.5928753345316,56.0438397363655,EaP,12.608770595251226,4.179696684825651,11.61778085307261,15.049401711537469,1.2725655957915476,2.2321626286975,3.0344721018699214,0.9042181506398858,8.167756209758831,14.911553214620781,4.664416143467855,5.23188071116919,1,0,1.2725655957915476,0.0,1.252762968495368,0.9042181506398858,6,36,0
ARM,2017,10.36,3.11,25.4,5.18,1.47,12.84,315319.0,10.8172556564183,64.7448843250726,208092.0,71387.5270457978,110259.718261869,225472.268538029,3488524.0,119.676441862212,99.7,90.0999984741211,55.5065519523494,2006.10861247231,7.50000000164144,3869.05373867752,3815.3747426037,28282166.0,0.19,2.15064189848613,73.609,2979400,68.1111272919884,104.650509308044,0.228397324681282,0.22788,268.174800295361,64.7124948593667,57.6521788075404,EaP,12.661343275173845,4.185781863089051,12.245740374141771,15.064989568739648,1.413423028508143,2.4300984132930052,3.2733640101522705,0.9042181506398858,8.261023671890602,14.90723283156562,4.660136564760753,5.595360983787736,1,0,1.413423028508143,0.0,1.2725655957915476,0.9042181506398858,7,49,0
ARM,2018,10.33,2.93,25.62,5.18,1.47,12.84,347448.0,11.9399374219278,68.2450522610271,341244.0,117267.389813967,171832.808282477,225472.268538029,3579257.0,123.000001718234,99.9,94.4654445463654,57.4585357681354,1938.69989895588,5.19999999965324,4196.00562301769,4027.83393010979,36529310.0,0.32,2.78770951425761,74.291,2969000,67.836738214504,104.285212504391,0.350590288639069,0.18876,333.108790838666,64.8502833795679,57.9854555443131,EaP,12.758373170626372,4.237651695020761,12.740355973359312,15.090666074325195,1.3686394258811698,2.427454075039915,3.2816628129669656,0.9042181506398858,8.342126603103408,14.903736090559581,4.656672977221359,5.811466661014958,1,0,1.3686394258811698,0.0,1.413423028508143,0.9042181506398858,8,64,0
ARM,2019,10.33,2.93,25.62,5.18,1.47,12.84,385704.0,13.2819462446608,66.5439496866159,662562.0,228157.158540096,342866.871615806,225472.268538029,3618747.0,124.613701509519,100.0,94.7464467221341,53.5944174785534,2084.05063291139,7.59999999853918,4597.22887399548,4343.45839583019,45573711.0,0.28,1.06562263923419,71.007,2962500,67.6540902691366,104.056902002107,0.242604270577431,0.17854,477.974683544304,65.0047033570428,60.5410017858172,EaP,12.862828107555385,4.212778492469016,13.403870926660957,15.10163866762626,1.3686394258811698,2.427454075039915,3.2816628129669656,0.9042181506398858,8.43342648094282,14.90154440197821,4.654502127199425,6.171647743288282,1,0,1.3686394258811698,0.0,1.3686394258811698,0.9042181506398858,9,81,0
