seriesID,seriesCode,seriesName,seriesParent,seriesUnits,entityID,entityIso,entityName,dataValue,dataYear,dataNote,dataSource,seriesDescription,country_iso3
19257,i4213tfbb,Fixed-broadband subscriptions,,per 100 people,17,ARM,Armenia,93586.0,2010,,Ministry of Transport and Communications,"Refers to fixed subscriptions to high-speed access to the public Internet (a TCP/IP connection), at downstream speeds equal to, or greater than, 256 kbit/s divided by population and multiplied by 100",ARM
19257,i4213tfbb,Fixed-broadband subscriptions,,per 100 people,17,ARM,Armenia,160573.0,2011,,ITU estimate,"Refers to fixed subscriptions to high-speed access to the public Internet (a TCP/IP connection), at downstream speeds equal to, or greater than, 256 kbit/s divided by population and multiplied by 100",ARM
19257,i4213tfbb,Fixed-broadband subscriptions,,per 100 people,17,ARM,Armenia,212053.0,2012,,Ministry of Transport and Communication of Armenia,"Refers to fixed subscriptions to high-speed access to the public Internet (a TCP/IP connection), at downstream speeds equal to, or greater than, 256 kbit/s divided by population and multiplied by 100",ARM
19257,i4213tfbb,Fixed-broadband subscriptions,,per 100 people,17,ARM,Armenia,243058.0,2013,,Ministry of Transport and Communication of Armenia,"Refers to fixed subscriptions to high-speed access to the public Internet (a TCP/IP connection), at downstream speeds equal to, or greater than, 256 kbit/s divided by population and multiplied by 100",ARM
19257,i4213tfbb,Fixed-broadband subscriptions,,per 100 people,17,ARM,Armenia,272885.0,2014,,Ministry of Transport and Communication of Armenia,"Refers to fixed subscriptions to high-speed access to the public Internet (a TCP/IP connection), at downstream speeds equal to, or greater than, 256 kbit/s divided by population and multiplied by 100",ARM
19257,i4213tfbb,Fixed-broadband subscriptions,,per 100 people,17,ARM,Armenia,286319.0,2015,,Ministry of Transport and Communication of Armenia,"Refers to fixed subscriptions to high-speed access to the public Internet (a TCP/IP connection), at downstream speeds equal to, or greater than, 256 kbit/s divided by population and multiplied by 100",ARM
19257,i4213tfbb,Fixed-broadband subscriptions,,per 100 people,17,ARM,Armenia,299170.0,2016,,"Ministry of Transport, Communication and Information Technologies of Armenia","Refers to fixed subscriptions to high-speed access to the public Internet (a TCP/IP connection), at downstream speeds equal to, or greater than, 256 kbit/s divided by population and multiplied by 100",ARM
19257,i4213tfbb,Fixed-broadband subscriptions,,per 100 people,17,ARM,Armenia,315319.0,2017,,"Ministry of Transport, Communication and Information Technologies of Armenia","Refers to fixed subscriptions to high-speed access to the public Internet (a TCP/IP connection), at downstream speeds equal to, or greater than, 256 kbit/s divided by population and multiplied by 100",ARM
19257,i4213tfbb,Fixed-broadband subscriptions,,per 100 people,17,ARM,Armenia,347448.0,2018,,Ministry of High-Tech Industry of Armenia,"Refers to fixed subscriptions to high-speed access to the public Internet (a TCP/IP connection), at downstream speeds equal to, or greater than, 256 kbit/s divided by population and multiplied by 100",ARM
19257,i4213tfbb,Fixed-broadband subscriptions,,per 100 people,17,ARM,Armenia,385704.0,2019,,Ministry of High-Tech Industry of Armenia,"Refers to fixed subscriptions to high-speed access to the public Internet (a TCP/IP connection), at downstream speeds equal to, or greater than, 256 kbit/s divided by population and multiplied by 100",ARM
19257,i4213tfbb,Fixed-broadband subscriptions,,per 100 people,17,ARM,Armenia,430407.0,2020,,Ministry of High-Tech Industry of Armenia,"Refers to fixed subscriptions to high-speed access to the public Internet (a TCP/IP connection), at downstream speeds equal to, or greater than, 256 kbit/s divided by population and multiplied by 100",ARM
