seriesID,seriesCode,seriesName,seriesParent,seriesUnits,entityID,entityIso,entityName,dataValue,dataYear,dataNote,dataSource,seriesDescription,country_iso3
11624,i99H,Individuals using the Internet,,%,17,ARM,Armenia,25.0,2010,,ITU estimate.,Refers to the proportion of individuals who used the Internet from any location in the last three months. Access can be via a fixed or mobile network.,ARM
11624,i99H,Individuals using the Internet,,%,17,ARM,Armenia,32.0,2011,,ITU estimate.,Refers to the proportion of individuals who used the Internet from any location in the last three months. Access can be via a fixed or mobile network.,ARM
11624,i99H,Individuals using the Internet,,%,17,ARM,Armenia,37.5,2012,,ITU estimate.,Refers to the proportion of individuals who used the Internet from any location in the last three months. Access can be via a fixed or mobile network.,ARM
11624,i99H,Individuals using the Internet,,%,17,ARM,Armenia,41.9,2013,All population.,National Statistical Service,Refers to the proportion of individuals who used the Internet from any location in the last three months. Access can be via a fixed or mobile network.,ARM
11624,i99H,Individuals using the Internet,,%,17,ARM,Armenia,54.6228,2014,,National Statistical Service,Refers to the proportion of individuals who used the Internet from any location in the last three months. Access can be via a fixed or mobile network.,ARM
11624,i99H,Individuals using the Internet,,%,17,ARM,Armenia,59.1008,2015,,National Statistical Service,Refers to the proportion of individuals who used the Internet from any location in the last three months. Access can be via a fixed or mobile network.,ARM
11624,i99H,Individuals using the Internet,,%,17,ARM,Armenia,64.346,2016,,National Statistical Service of RA,Refers to the proportion of individuals who used the Internet from any location in the last three months. Access can be via a fixed or mobile network.,ARM
11624,i99H,Individuals using the Internet,,%,17,ARM,Armenia,64.7449,2017,,The Statistical Committee of the Republic of Armenia,Refers to the proportion of individuals who used the Internet from any location in the last three months. Access can be via a fixed or mobile network.,ARM
11624,i99H,Individuals using the Internet,,%,17,ARM,Armenia,68.2451,2018,,The Statistical Committee of the Republic of Armenia,Refers to the proportion of individuals who used the Internet from any location in the last three months. Access can be via a fixed or mobile network.,ARM
11624,i99H,Individuals using the Internet,,%,17,ARM,Armenia,66.5439,2019,,The Statistical Committee of the Republic of Armenia,Refers to the proportion of individuals who used the Internet from any location in the last three months. Access can be via a fixed or mobile network.,ARM
11624,i99H,Individuals using the Internet,,%,17,ARM,Armenia,76.5077,2020,,Statistical Committee of RA,Refers to the proportion of individuals who used the Internet from any location in the last three months. Access can be via a fixed or mobile network.,ARM
11624,i99H,Individuals using the Internet,,%,17,ARM,Armenia,78.6123,2021,,The Statistical Committee of the Republic of Armenia,Refers to the proportion of individuals who used the Internet from any location in the last three months. Access can be via a fixed or mobile network.,ARM
