country,year,fixed_broadband_subs_i4213tfbb,series_code,series_name,series_units,variable,fixed_broadband_subs_i992b
ARM,2010,93586.0,i4213tfbb,Fixed-broadband subscriptions,per 100 people,fixed_broadband_subs,
ARM,2011,160573.0,i4213tfbb,Fixed-broadband subscriptions,per 100 people,fixed_broadband_subs,
ARM,2012,212053.0,i4213tfbb,Fixed-broadband subscriptions,per 100 people,fixed_broadband_subs,
ARM,2013,243058.0,i4213tfbb,Fixed-broadband subscriptions,per 100 people,fixed_broadband_subs,
ARM,2014,272885.0,i4213tfbb,Fixed-broadband subscriptions,per 100 people,fixed_broadband_subs,
ARM,2015,286319.0,i4213tfbb,Fixed-broadband subscriptions,per 100 people,fixed_broadband_subs,
ARM,2016,299170.0,i4213tfbb,Fixed-broadband subscriptions,per 100 people,fixed_broadband_subs,
ARM,2017,315319.0,i4213tfbb,Fixed-broadband subscriptions,per 100 people,fixed_broadband_subs,
ARM,2018,347448.0,i4213tfbb,Fixed-broadband subscriptions,per 100 people,fixed_broadband_subs,
ARM,2019,385704.0,i4213tfbb,Fixed-broadband subscriptions,per 100 people,fixed_broadband_subs,
ARM,2020,430407.0,i4213tfbb,Fixed-broadband subscriptions,per 100 people,fixed_broadband_subs,
ARM,2021,466621.0,i4213tfbb,Fixed-broadband subscriptions,per 100 people,fixed_broadband_subs,
ARM,2022,510781.0,i4213tfbb,Fixed-broadband subscriptions,per 100 people,fixed_broadband_subs,
ARM,2023,545876.0,i4213tfbb,Fixed-broadband subscriptions,per 100 people,fixed_broadband_subs,
AUT,2010,2050400.0,i4213tfbb,Fixed-broadband subscriptions,per 100 people,fixed_broadband_subs,
AUT,2011,2097700.0,i4213tfbb,Fixed-broadband subscriptions,per 100 people,fixed_broadband_subs,
AUT,2012,2130200.0,i4213tfbb,Fixed-broadband subscriptions,per 100 people,fixed_broadband_subs,
AUT,2013,2232500.0,i4213tfbb,Fixed-broadband subscriptions,per 100 people,fixed_broadband_subs,
AUT,2014,2359000.0,i4213tfbb,Fixed-broadband subscriptions,per 100 people,fixed_broadband_subs,
AUT,2015,2455500.0,i4213tfbb,Fixed-broadband subscriptions,per 100 people,fixed_broadband_subs,
AUT,2016,2523300.0,i4213tfbb,Fixed-broadband subscriptions,per 100 people,fixed_broadband_subs,
AUT,2017,2511400.0,i4213tfbb,Fixed-broadband subscriptions,per 100 people,fixed_broadband_subs,
AUT,2018,2521200.0,i4213tfbb,Fixed-broadband subscriptions,per 100 people,fixed_broadband_subs,
AUT,2019,2518900.0,i4213tfbb,Fixed-broadband subscriptions,per 100 people,fixed_broadband_subs,
AUT,2020,2606000.0,i4213tfbb,Fixed-broadband subscriptions,per 100 people,fixed_broadband_subs,
AUT,2021,2623200.0,i4213tfbb,Fixed-broadband subscriptions,per 100 people,fixed_broadband_subs,
AUT,2022,2649990.0,i4213tfbb,Fixed-broadband subscriptions,per 100 people,fixed_broadband_subs,
AUT,2023,2681840.0,i4213tfbb,Fixed-broadband subscriptions,per 100 people,fixed_broadband_subs,
AZE,2010,475295.0,i4213tfbb,Fixed-broadband subscriptions,per 100 people,fixed_broadband_subs,
AZE,2011,973869.0,i4213tfbb,Fixed-broadband subscriptions,per 100 people,fixed_broadband_subs,
AZE,2012,1369590.0,i4213tfbb,Fixed-broadband subscriptions,per 100 people,fixed_broadband_subs,
AZE,2013,1712180.0,i4213tfbb,Fixed-broadband subscriptions,per 100 people,fixed_broadband_subs,
AZE,2014,1898070.0,i4213tfbb,Fixed-broadband subscriptions,per 100 people,fixed_broadband_subs,
AZE,2015,1899460.0,i4213tfbb,Fixed-broadband subscriptions,per 100 people,fixed_broadband_subs,
AZE,2016,1803660.0,i4213tfbb,Fixed-broadband subscriptions,per 100 people,fixed_broadband_subs,
AZE,2017,1805210.0,i4213tfbb,Fixed-broadband subscriptions,per 100 people,fixed_broadband_subs,
AZE,2018,1890910.0,i4213tfbb,Fixed-broadband subscriptions,per 100 people,fixed_broadband_subs,
AZE,2019,1943010.0,i4213tfbb,Fixed-broadband subscriptions,per 100 people,fixed_broadband_subs,
AZE,2020,1995470.0,i4213tfbb,Fixed-broadband subscriptions,per 100 people,fixed_broadband_subs,
AZE,2021,2055650.0,i4213tfbb,Fixed-broadband subscriptions,per 100 people,fixed_broadband_subs,
AZE,2022,2096700.0,i4213tfbb,Fixed-broadband subscriptions,per 100 people,fixed_broadband_subs,
AZE,2023,2154700.0,i4213tfbb,Fixed-broadband subscriptions,per 100 people,fixed_broadband_subs,
BEL,2010,3373140.0,i4213tfbb,Fixed-broadband subscriptions,per 100 people,fixed_broadband_subs,
