country,year,int_bandwidth_i4214,series_code,series_name,series_units,variable,int_bandwidth_i994,int_bandwidth_i994B,int_bandwidth_i994u
ARM,2010,10547.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
ARM,2011,26050.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
ARM,2012,30000.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
ARM,2013,45600.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
ARM,2014,61528.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
ARM,2015,118187.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
ARM,2016,111054.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
ARM,2017,208092.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
ARM,2018,341244.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
ARM,2019,662562.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
ARM,2020,590968.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
ARM,2021,477470.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
ARM,2022,432550.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
ARM,2023,459005.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
AUT,2010,345530.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
AUT,2011,427421.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
AUT,2012,510567.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
AUT,2013,728138.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
AUT,2014,330000.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
AUT,2015,360000.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
AUT,2016,395000.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
AUT,2017,405000.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
AZE,2010,38000.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
AZE,2011,62000.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
AZE,2012,94000.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
AZE,2013,143000.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
AZE,2014,187000.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
AZE,2015,260000.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
AZE,2016,260000.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
AZE,2017,360000.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
AZE,2018,414000.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
AZE,2019,485050.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
AZE,2020,688000.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
AZE,2021,692122.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
AZE,2022,1089590.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
AZE,2023,2424060.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
BEL,2010,630647.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
BEL,2011,787315.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
BEL,2012,856460.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
BEL,2013,920000.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
BEL,2014,1040000.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
BEL,2015,1130000.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
BEL,2016,1290000.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
BEL,2017,1350000.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
BLR,2010,67000.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
BLR,2011,200000.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
BLR,2012,350000.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
BLR,2013,480480.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
BLR,2014,783000.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
BLR,2015,803120.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
BLR,2016,1104080.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
BLR,2017,1338160.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
BLR,2018,1480280.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
BLR,2019,1551240.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
BLR,2020,1932960.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
BLR,2021,1891000.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
BLR,2022,2297000.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
BLR,2023,3095000.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
BGR,2010,232600.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
BGR,2011,252800.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
BGR,2012,342855.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
BGR,2013,413370.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
BGR,2014,537415.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
BGR,2015,617811.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
BGR,2016,885180.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
BGR,2017,805890.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
BGR,2018,2081780.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
BGR,2019,2305950.0,i4214,International bandwidth usage,Mbit/s,int_bandwidth,,,
