country,year,internet_users_pct_i99H,series_code,series_name,series_units,variable
ARM,2010,25.0,i99H,Individuals using the Internet,%,internet_users_pct
ARM,2011,32.0,i99H,Individuals using the Internet,%,internet_users_pct
ARM,2012,37.5,i99H,Individuals using the Internet,%,internet_users_pct
ARM,2013,41.9,i99H,Individuals using the Internet,%,internet_users_pct
ARM,2014,54.6228,i99H,Individuals using the Internet,%,internet_users_pct
ARM,2015,59.1008,i99H,Individuals using the Internet,%,internet_users_pct
ARM,2016,64.346,i99H,Individuals using the Internet,%,internet_users_pct
ARM,2017,64.7449,i99H,Individuals using the Internet,%,internet_users_pct
ARM,2018,68.2451,i99H,Individuals using the Internet,%,internet_users_pct
ARM,2019,66.5439,i99H,Individuals using the Internet,%,internet_users_pct
ARM,2020,76.5077,i99H,Individuals using the Internet,%,internet_users_pct
ARM,2021,78.6123,i99H,Individuals using the Internet,%,internet_users_pct
ARM,2022,77.0277,i99H,Individuals using the Internet,%,internet_users_pct
ARM,2023,79.9966,i99H,Individuals using the Internet,%,internet_users_pct
AUT,2010,75.17,i99H,Individuals using the Internet,%,internet_users_pct
AUT,2011,78.74,i99H,Individuals using the Internet,%,internet_users_pct
AUT,2012,80.03,i99H,Individuals using the Internet,%,internet_users_pct
AUT,2013,80.6188,i99H,Individuals using the Internet,%,internet_users_pct
AUT,2014,80.9958,i99H,Individuals using the Internet,%,internet_users_pct
AUT,2015,83.9401,i99H,Individuals using the Internet,%,internet_users_pct
AUT,2016,84.3237,i99H,Individuals using the Internet,%,internet_users_pct
AUT,2017,87.9356,i99H,Individuals using the Internet,%,internet_users_pct
AUT,2018,87.4791,i99H,Individuals using the Internet,%,internet_users_pct
AUT,2019,87.7522,i99H,Individuals using the Internet,%,internet_users_pct
AUT,2020,87.5294,i99H,Individuals using the Internet,%,internet_users_pct
AUT,2021,92.5292,i99H,Individuals using the Internet,%,internet_users_pct
AUT,2022,93.6141,i99H,Individuals using the Internet,%,internet_users_pct
AUT,2023,95.3347,i99H,Individuals using the Internet,%,internet_users_pct
AZE,2010,46.0,i99H,Individuals using the Internet,%,internet_users_pct
AZE,2011,50.0,i99H,Individuals using the Internet,%,internet_users_pct
AZE,2012,54.2,i99H,Individuals using the Internet,%,internet_users_pct
AZE,2013,73.0,i99H,Individuals using the Internet,%,internet_users_pct
AZE,2014,75.0,i99H,Individuals using the Internet,%,internet_users_pct
AZE,2015,77.0,i99H,Individuals using the Internet,%,internet_users_pct
AZE,2016,78.2,i99H,Individuals using the Internet,%,internet_users_pct
AZE,2017,79.0,i99H,Individuals using the Internet,%,internet_users_pct
AZE,2018,79.8,i99H,Individuals using the Internet,%,internet_users_pct
AZE,2019,81.1,i99H,Individuals using the Internet,%,internet_users_pct
AZE,2020,84.6,i99H,Individuals using the Internet,%,internet_users_pct
AZE,2021,86.0,i99H,Individuals using the Internet,%,internet_users_pct
AZE,2022,88.0,i99H,Individuals using the Internet,%,internet_users_pct
AZE,2023,89.0,i99H,Individuals using the Internet,%,internet_users_pct
BEL,2010,77.6398,i99H,Individuals using the Internet,%,internet_users_pct
BEL,2011,81.61,i99H,Individuals using the Internet,%,internet_users_pct
BEL,2012,80.72,i99H,Individuals using the Internet,%,internet_users_pct
BEL,2013,82.1702,i99H,Individuals using the Internet,%,internet_users_pct
BEL,2014,85.0012,i99H,Individuals using the Internet,%,internet_users_pct
BEL,2015,85.0529,i99H,Individuals using the Internet,%,internet_users_pct
BEL,2016,86.5165,i99H,Individuals using the Internet,%,internet_users_pct
BEL,2017,87.6797,i99H,Individuals using the Internet,%,internet_users_pct
BEL,2018,88.6473,i99H,Individuals using the Internet,%,internet_users_pct
BEL,2019,90.2754,i99H,Individuals using the Internet,%,internet_users_pct
BEL,2020,91.5264,i99H,Individuals using the Internet,%,internet_users_pct
BEL,2021,92.7887,i99H,Individuals using the Internet,%,internet_users_pct
BEL,2022,94.0078,i99H,Individuals using the Internet,%,internet_users_pct
BEL,2023,94.6263,i99H,Individuals using the Internet,%,internet_users_pct
BLR,2010,31.8,i99H,Individuals using the Internet,%,internet_users_pct
BLR,2011,39.6489,i99H,Individuals using the Internet,%,internet_users_pct
BLR,2012,46.91,i99H,Individuals using the Internet,%,internet_users_pct
BLR,2013,54.17,i99H,Individuals using the Internet,%,internet_users_pct
BLR,2014,59.0163,i99H,Individuals using the Internet,%,internet_users_pct
BLR,2015,62.2304,i99H,Individuals using the Internet,%,internet_users_pct
BLR,2016,71.113,i99H,Individuals using the Internet,%,internet_users_pct
BLR,2017,74.4364,i99H,Individuals using the Internet,%,internet_users_pct
BLR,2018,79.1299,i99H,Individuals using the Internet,%,internet_users_pct
BLR,2019,82.7892,i99H,Individuals using the Internet,%,internet_users_pct
BLR,2020,85.0879,i99H,Individuals using the Internet,%,internet_users_pct
BLR,2021,86.8884,i99H,Individuals using the Internet,%,internet_users_pct
BLR,2022,89.5073,i99H,Individuals using the Internet,%,internet_users_pct
BLR,2023,91.5125,i99H,Individuals using the Internet,%,internet_users_pct
BGR,2010,46.23,i99H,Individuals using the Internet,%,internet_users_pct
BGR,2011,47.98,i99H,Individuals using the Internet,%,internet_users_pct
BGR,2012,51.9,i99H,Individuals using the Internet,%,internet_users_pct
BGR,2013,53.0615,i99H,Individuals using the Internet,%,internet_users_pct
BGR,2014,55.4904,i99H,Individuals using the Internet,%,internet_users_pct
BGR,2015,56.6563,i99H,Individuals using the Internet,%,internet_users_pct
BGR,2016,59.8255,i99H,Individuals using the Internet,%,internet_users_pct
BGR,2017,63.4101,i99H,Individuals using the Internet,%,internet_users_pct
BGR,2018,64.782,i99H,Individuals using the Internet,%,internet_users_pct
BGR,2019,67.947,i99H,Individuals using the Internet,%,internet_users_pct
BGR,2020,70.1625,i99H,Individuals using the Internet,%,internet_users_pct
BGR,2021,75.2714,i99H,Individuals using the Internet,%,internet_users_pct
BGR,2022,79.1269,i99H,Individuals using the Internet,%,internet_users_pct
BGR,2023,80.3896,i99H,Individuals using the Internet,%,internet_users_pct
CYP,2010,52.99,i99H,Individuals using the Internet,%,internet_users_pct
CYP,2011,56.8599,i99H,Individuals using the Internet,%,internet_users_pct
CYP,2012,60.6899,i99H,Individuals using the Internet,%,internet_users_pct
CYP,2013,65.4548,i99H,Individuals using the Internet,%,internet_users_pct
CYP,2014,69.3287,i99H,Individuals using the Internet,%,internet_users_pct
CYP,2015,71.7157,i99H,Individuals using the Internet,%,internet_users_pct
CYP,2016,75.9002,i99H,Individuals using the Internet,%,internet_users_pct
CYP,2017,80.7432,i99H,Individuals using the Internet,%,internet_users_pct
CYP,2018,84.4336,i99H,Individuals using the Internet,%,internet_users_pct
CYP,2019,86.0636,i99H,Individuals using the Internet,%,internet_users_pct
CYP,2020,90.8019,i99H,Individuals using the Internet,%,internet_users_pct
CYP,2021,90.7595,i99H,Individuals using the Internet,%,internet_users_pct
CYP,2022,89.601,i99H,Individuals using the Internet,%,internet_users_pct
CYP,2023,91.2211,i99H,Individuals using the Internet,%,internet_users_pct
DEU,2010,82.0,i99H,Individuals using the Internet,%,internet_users_pct
DEU,2011,81.27,i99H,Individuals using the Internet,%,internet_users_pct
DEU,2012,82.35,i99H,Individuals using the Internet,%,internet_users_pct
DEU,2013,84.17,i99H,Individuals using the Internet,%,internet_users_pct
DEU,2014,86.1937,i99H,Individuals using the Internet,%,internet_users_pct
DEU,2015,87.5898,i99H,Individuals using the Internet,%,internet_users_pct
DEU,2016,84.1652,i99H,Individuals using the Internet,%,internet_users_pct
DEU,2017,84.3942,i99H,Individuals using the Internet,%,internet_users_pct
DEU,2018,87.0371,i99H,Individuals using the Internet,%,internet_users_pct
DEU,2019,88.1345,i99H,Individuals using the Internet,%,internet_users_pct
DEU,2020,89.8129,i99H,Individuals using the Internet,%,internet_users_pct
DEU,2021,91.4306,i99H,Individuals using the Internet,%,internet_users_pct
DEU,2022,91.6298,i99H,Individuals using the Internet,%,internet_users_pct
DEU,2023,92.4764,i99H,Individuals using the Internet,%,internet_users_pct
DNK,2010,88.72,i99H,Individuals using the Internet,%,internet_users_pct
DNK,2011,89.81,i99H,Individuals using the Internet,%,internet_users_pct
DNK,2012,92.26,i99H,Individuals using the Internet,%,internet_users_pct
DNK,2013,94.6297,i99H,Individuals using the Internet,%,internet_users_pct
DNK,2014,95.9935,i99H,Individuals using the Internet,%,internet_users_pct
DNK,2015,96.3305,i99H,Individuals using the Internet,%,internet_users_pct
DNK,2016,96.9678,i99H,Individuals using the Internet,%,internet_users_pct
DNK,2017,97.0994,i99H,Individuals using the Internet,%,internet_users_pct
DNK,2018,97.3192,i99H,Individuals using the Internet,%,internet_users_pct
DNK,2019,98.0464,i99H,Individuals using the Internet,%,internet_users_pct
DNK,2020,96.5491,i99H,Individuals using the Internet,%,internet_users_pct
DNK,2021,98.8659,i99H,Individuals using the Internet,%,internet_users_pct
DNK,2022,97.8601,i99H,Individuals using the Internet,%,internet_users_pct
DNK,2023,98.7756,i99H,Individuals using the Internet,%,internet_users_pct
ESP,2010,65.8,i99H,Individuals using the Internet,%,internet_users_pct
ESP,2011,67.09,i99H,Individuals using the Internet,%,internet_users_pct
ESP,2012,69.81,i99H,Individuals using the Internet,%,internet_users_pct
ESP,2013,71.635,i99H,Individuals using the Internet,%,internet_users_pct
ESP,2014,76.1867,i99H,Individuals using the Internet,%,internet_users_pct
ESP,2015,78.6896,i99H,Individuals using the Internet,%,internet_users_pct
ESP,2016,80.5613,i99H,Individuals using the Internet,%,internet_users_pct
ESP,2017,84.6022,i99H,Individuals using the Internet,%,internet_users_pct
ESP,2018,86.1072,i99H,Individuals using the Internet,%,internet_users_pct
ESP,2019,90.7187,i99H,Individuals using the Internet,%,internet_users_pct
ESP,2020,93.2056,i99H,Individuals using the Internet,%,internet_users_pct
ESP,2021,93.8975,i99H,Individuals using the Internet,%,internet_users_pct
ESP,2022,94.4855,i99H,Individuals using the Internet,%,internet_users_pct
ESP,2023,95.4456,i99H,Individuals using the Internet,%,internet_users_pct
EST,2010,74.1,i99H,Individuals using the Internet,%,internet_users_pct
EST,2011,76.5,i99H,Individuals using the Internet,%,internet_users_pct
EST,2012,78.3899,i99H,Individuals using the Internet,%,internet_users_pct
EST,2013,80.0043,i99H,Individuals using the Internet,%,internet_users_pct
EST,2014,84.2415,i99H,Individuals using the Internet,%,internet_users_pct
EST,2015,88.4097,i99H,Individuals using the Internet,%,internet_users_pct
EST,2016,87.2402,i99H,Individuals using the Internet,%,internet_users_pct
EST,2017,88.1025,i99H,Individuals using the Internet,%,internet_users_pct
EST,2018,89.357,i99H,Individuals using the Internet,%,internet_users_pct
EST,2019,90.2289,i99H,Individuals using the Internet,%,internet_users_pct
EST,2020,89.0583,i99H,Individuals using the Internet,%,internet_users_pct
EST,2021,90.9797,i99H,Individuals using the Internet,%,internet_users_pct
EST,2022,91.5202,i99H,Individuals using the Internet,%,internet_users_pct
EST,2023,93.1834,i99H,Individuals using the Internet,%,internet_users_pct
FRA,2010,77.28,i99H,Individuals using the Internet,%,internet_users_pct
FRA,2011,77.82,i99H,Individuals using the Internet,%,internet_users_pct
FRA,2012,81.44,i99H,Individuals using the Internet,%,internet_users_pct
FRA,2013,81.9198,i99H,Individuals using the Internet,%,internet_users_pct
FRA,2014,83.7511,i99H,Individuals using the Internet,%,internet_users_pct
FRA,2015,78.006,i99H,Individuals using the Internet,%,internet_users_pct
FRA,2016,79.2698,i99H,Individuals using the Internet,%,internet_users_pct
FRA,2017,80.5025,i99H,Individuals using the Internet,%,internet_users_pct
FRA,2018,82.0432,i99H,Individuals using the Internet,%,internet_users_pct
FRA,2019,83.3397,i99H,Individuals using the Internet,%,internet_users_pct
FRA,2020,84.7064,i99H,Individuals using the Internet,%,internet_users_pct
FRA,2021,86.0955,i99H,Individuals using the Internet,%,internet_users_pct
FRA,2022,85.3333,i99H,Individuals using the Internet,%,internet_users_pct
FRA,2023,86.8364,i99H,Individuals using the Internet,%,internet_users_pct
FIN,2010,86.89,i99H,Individuals using the Internet,%,internet_users_pct
FIN,2011,88.71,i99H,Individuals using the Internet,%,internet_users_pct
FIN,2012,89.88,i99H,Individuals using the Internet,%,internet_users_pct
FIN,2013,91.5144,i99H,Individuals using the Internet,%,internet_users_pct
FIN,2014,86.5304,i99H,Individuals using the Internet,%,internet_users_pct
FIN,2015,86.4221,i99H,Individuals using the Internet,%,internet_users_pct
FIN,2016,87.7036,i99H,Individuals using the Internet,%,internet_users_pct
FIN,2017,87.4689,i99H,Individuals using the Internet,%,internet_users_pct
FIN,2018,88.89,i99H,Individuals using the Internet,%,internet_users_pct
FIN,2019,89.6074,i99H,Individuals using the Internet,%,internet_users_pct
