country,year,mobile_broad_price_i271mb_ts_GNI,series_code,series_name,series_units,variable
ARM,2013,2.61,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
ARM,2014,2.51,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
ARM,2015,2.19,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
ARM,2016,2.25286,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
ARM,2017,2.17519,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
ARM,2018,1.47,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
ARM,2019,1.47,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
ARM,2020,0.96,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
ARM,2021,1.0516,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
ARM,2022,0.944846,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
ARM,2023,0.82,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
AUT,2013,0.13,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
AUT,2014,0.16,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
AUT,2015,0.16,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
AUT,2016,0.140439,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
AUT,2017,0.148797,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
AUT,2018,0.34,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
AUT,2019,0.29,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
AUT,2020,0.27,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
AUT,2021,0.286259,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
AUT,2022,0.239507,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
AUT,2023,0.21,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
AZE,2013,1.46,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
AZE,2014,1.41,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
AZE,2015,1.08,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
AZE,2016,0.458463,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
AZE,2017,0.683536,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
AZE,2018,1.39,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
AZE,2019,1.39,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
AZE,2020,1.23,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
AZE,2021,1.6931,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
AZE,2022,1.3435,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
AZE,2023,0.59,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
BEL,2013,0.67,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
BEL,2014,0.67,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
BEL,2015,0.53,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
BEL,2016,0.596167,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
BEL,2017,0.48538,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
BEL,2018,0.47,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
BEL,2019,0.47,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
BEL,2020,0.44,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
BEL,2021,0.456974,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
BEL,2022,0.407607,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
