country,year,mobile_subs_i271,series_code,series_name,series_units,variable,mobile_subs_i911
ARM,2010,3865350.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
ARM,2011,3211220.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
ARM,2012,3322840.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
ARM,2013,3346280.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
ARM,2014,3459140.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
ARM,2015,3464490.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
ARM,2016,3434570.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
ARM,2017,3488520.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
ARM,2018,3579260.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
ARM,2019,3618750.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
ARM,2020,3488800.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
ARM,2021,3599280.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
ARM,2022,3760700.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
ARM,2023,3959450.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
AUT,2010,12241000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
AUT,2011,13022600.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
AUT,2012,13588000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
AUT,2013,13272000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
AUT,2014,12952600.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
AUT,2015,13470600.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
AUT,2016,11079500.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
AUT,2017,10859000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
AUT,2018,10984000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
AUT,2019,10726000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
AUT,2020,10717400.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
AUT,2021,10882200.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
AUT,2022,10983300.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
AUT,2023,11116000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
AZE,2010,9100110.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
AZE,2011,10120100.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
AZE,2012,10125200.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
AZE,2013,10130100.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
AZE,2014,10552500.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
AZE,2015,10697100.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
AZE,2016,10189000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
AZE,2017,10127000.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
AZE,2018,10339700.0,i271,Mobile-cellular subscriptions,count,mobile_subs,
