country,year,variable,value,indicator_code
ARM,2010,gdp_per_capita,3041.34450723339,
ARM,2011,gdp_per_capita,3349.55309771906,
ARM,2012,gdp_per_capita,3511.56399687426,
ARM,2013,gdp_per_capita,3680.16692158886,
ARM,2014,gdp_per_capita,3852.11800610384,
ARM,2015,gdp_per_capita,3512.39350276709,
ARM,2016,gdp_per_capita,3524.42476874707,
ARM,2017,gdp_per_capita,3869.05373867752,
ARM,2018,gdp_per_capita,4196.00562301769,
ARM,2019,gdp_per_capita,4597.22887399548,
ARM,2020,gdp_per_capita,4268.68093304583,
ARM,2021,gdp_per_capita,4685.17997128509,
ARM,2022,gdp_per_capita,6571.97445545099,
ARM,2023,gdp_per_capita,8125.27395754003,
AUT,2010,gdp_per_capita,46611.1393420232,
AUT,2011,gdp_per_capita,51116.8953522042,
AUT,2012,gdp_per_capita,48250.4059142637,
AUT,2013,gdp_per_capita,50305.3545774973,
AUT,2014,gdp_per_capita,51314.9722616322,
AUT,2015,gdp_per_capita,43915.228020857,
AUT,2016,gdp_per_capita,45061.4993920192,
AUT,2017,gdp_per_capita,47163.7425775142,
AUT,2018,gdp_per_capita,51194.0749841299,
AUT,2019,gdp_per_capita,49885.9947355204,
AUT,2020,gdp_per_capita,48716.4098900349,
AUT,2021,gdp_per_capita,53648.7190742245,
AUT,2022,gdp_per_capita,52176.6649141178,
AUT,2023,gdp_per_capita,56033.573792065,
AZE,2010,gdp_per_capita,5843.5337683582,
AZE,2011,gdp_per_capita,7189.81869211976,
AZE,2012,gdp_per_capita,7495.86527658099,
AZE,2013,gdp_per_capita,7875.34536661549,
AZE,2014,gdp_per_capita,7890.84028062087,
AZE,2015,gdp_per_capita,5500.50364628486,
AZE,2016,gdp_per_capita,3880.6852276838,
AZE,2017,gdp_per_capita,4147.1981423222,
AZE,2018,gdp_per_capita,4739.7943123408,
AZE,2019,gdp_per_capita,4805.75371765917,
AZE,2020,gdp_per_capita,4229.91064904503,
AZE,2021,gdp_per_capita,5408.04535175023,
AZE,2022,gdp_per_capita,7770.594223351,
AZE,2023,gdp_per_capita,7133.02838048328,
BEL,2010,gdp_per_capita,44197.393671162,
BEL,2011,gdp_per_capita,47760.8298776546,
BEL,2012,gdp_per_capita,44874.1709182123,
BEL,2013,gdp_per_capita,46964.5946777056,
BEL,2014,gdp_per_capita,47995.7786961339,
BEL,2015,gdp_per_capita,40893.804537772,
BEL,2016,gdp_per_capita,41854.5498296444,
BEL,2017,gdp_per_capita,44035.3239358548,
BEL,2018,gdp_per_capita,47487.2100392561,
BEL,2019,gdp_per_capita,46716.6227467964,
BEL,2020,gdp_per_capita,45906.2875805246,
BEL,2021,gdp_per_capita,51658.238294958,
BEL,2022,gdp_per_capita,50822.2518538518,
BEL,2023,gdp_per_capita,54690.0942734964,
BGR,2010,gdp_per_capita,6853.94805511171,
BGR,2011,gdp_per_capita,7849.58061302818,
BGR,2012,gdp_per_capita,7431.95789508871,
BGR,2013,gdp_per_capita,7795.98092108928,
BGR,2014,gdp_per_capita,8069.60005667684,
BGR,2015,gdp_per_capita,7268.65445473873,
BGR,2016,gdp_per_capita,7822.49923292968,
BGR,2017,gdp_per_capita,8696.68930427924,
BGR,2018,gdp_per_capita,9872.38507789106,
BGR,2019,gdp_per_capita,10372.8044341114,
BGR,2020,gdp_per_capita,10769.9475699414,
BGR,2021,gdp_per_capita,12972.2173356002,
BGR,2022,gdp_per_capita,13999.6719197289,
BGR,2023,gdp_per_capita,15883.8618545581,
BLR,2010,gdp_per_capita,6034.67885177216,
BLR,2011,gdp_per_capita,6527.6593428786,
BLR,2012,gdp_per_capita,6953.21591683101,
BLR,2013,gdp_per_capita,7998.0802045456,
BLR,2014,gdp_per_capita,8341.31809294883,
BLR,2015,gdp_per_capita,5967.05595058777,
BLR,2016,gdp_per_capita,5039.77560949445,
BLR,2017,gdp_per_capita,5785.54491935194,
BLR,2018,gdp_per_capita,6360.037502312,
BLR,2019,gdp_per_capita,6837.77339645635,
BLR,2020,gdp_per_capita,6542.85579976768,
BLR,2021,gdp_per_capita,7489.71894713888,
BLR,2022,gdp_per_capita,7994.64806074889,
BLR,2023,gdp_per_capita,7896.75388295584,
CYP,2010,gdp_per_capita,31105.02734375,
CYP,2011,gdp_per_capita,32485.796875,
CYP,2012,gdp_per_capita,28991.935546875,
CYP,2013,gdp_per_capita,27797.45703125,
CYP,2014,gdp_per_capita,27244.3515625,
CYP,2015,gdp_per_capita,23487.228515625,
CYP,2016,gdp_per_capita,24715.154296875,
CYP,2017,gdp_per_capita,26696.990234375,
CYP,2018,gdp_per_capita,29599.986328125,
CYP,2019,gdp_per_capita,29703.052734375,
CYP,2020,gdp_per_capita,28649.015625,
CYP,2021,gdp_per_capita,33734.03515625,
