country,year,fixed_broadband_subs_i4213tfbb,fixed_broadband_subs_i992b,fixed_broad_price_i154_FBB_ts$,fixed_broad_price_i154_FBB_ts_GNI,fixed_broad_price_i154_FBB_ts_PPP,internet_users_pct_i99H,int_bandwidth_i4214,int_bandwidth_i994,int_bandwidth_i994B,int_bandwidth_i994u,mobile_broad_price_i271mb_ts$,mobile_broad_price_i271mb_ts_GNI,mobile_broad_price_i271mb_ts_PPP,mobile_subs_i271,mobile_subs_i911,access_to_electricity,education_secondary_pct,education_tertiary_pct,electric_power_consumption,gdp_growth,gdp_per_capita,gdp_per_capita_constant,high_tech_exports,ict_goods_exports,inflation_gdp_deflator,labor_force_advanced_education,population,population_ages_15_64,population_density,regulatory_quality_estimate,research_development_expenditure,secure_internet_servers,urban_population_pct,wage_salaried_workers,region
ARM,2010,93586.0,3.19289,32.37,11.52,68.14,25.0,10547.0,3598.33,123825.0,14393.3,,,,3865350.0,131.875,99.8,90.3963600803793,50.5839875932926,1631.30583289543,2.2000000002151,3041.34450723339,2796.08143428043,4727643.0,0.75,7.76871548067652,68.547,3044800.0,69.9705705545878,106.947664207938,0.268946558237076,0.24139,9.85286389910667,63.44,34.8793195962965,EaP
ARM,2011,160573.0,5.49292,21.04,7.36,42.44,32.0,26050.0,8911.25,169248.0,27847.7,,,,3211220.0,109.85,99.5,90.2399978637695,51.2949290708131,1716.70134416592,4.69999999867412,3349.55309771906,2943.83687119315,7448895.0,0.73,4.28154999826118,69.797,3027900.0,69.9991499247162,106.354056902002,0.246940597891808,0.27014,17.8341424749827,63.34,34.9750150555207,EaP
ARM,2012,212053.0,7.25581,11.2,3.63,24.37,37.5,30000.0,10265.1,145101.0,27373.6,,,,3322840.0,113.697,99.5,92.0871294900711,44.4855719494927,1804.50381931814,7.20000000096486,3511.56399687426,3159.75860786889,7581096.0,1.26,5.34580441814725,69.97,3024100.0,69.877939557455,106.220583069898,0.334273397922516,0.23853,28.7688899176615,63.24,35.1524010656528,EaP
ARM,2013,243058.0,8.31673,10.9856,3.35439,23.37,41.9,45600.0,15603.0,194523.0,37238.6,8.54,2.61,18.18,3346280.0,114.5,99.4,92.991693911866,44.8347790892711,1851.75380542687,3.3,3680.16692158886,3266.29882999873,9332592.0,0.16,3.36682464224465,70.175,3022000.0,69.6400159040937,106.146821215314,0.23518268764019,0.22216,52.2832561217737,63.164,35.350051372826,EaP
ARM,2014,272885.0,9.33763,10.1,3.01436,21.53,54.6228,61528.0,21053.8,225472.0,38543.9,8.42,2.51,17.94,3459140.0,118.365,99.7,95.1422776758471,47.7150849538629,1895.28170416086,3.60000000058993,3852.11800610384,3393.09252326884,9307631.0,0.26,2.30918242990974,74.514,3013800.0,69.3383433330299,105.858798735511,0.15851990878582,0.24151,60.3888778286549,63.112,35.5076192759048,EaP
ARM,2015,286319.0,9.80149,8.37,2.4984,20.5,59.1008,118187.0,40458.7,,68457.1,7.32,2.19,17.94,3464490.0,118.599,100.0,94.6314347635673,48.7313687040259,1909.40557811356,3.19999999896625,3512.39350276709,3512.39350276709,11860132.0,0.15,1.21390990471085,76.864,3004600.0,68.961951131008,105.535651563049,0.189176842570305,0.25002,74.5523530586434,63.085,35.9334694959808,EaP
ARM,2016,299170.0,10.2498,8.32,2.57,19.79,64.346,111054.0,38047.9,,59130.2,7.28426,2.25286,17.3149,3434570.0,117.671,99.8,93.9730352238513,54.3432877365993,1889.85061658256,0.199999999825991,3524.42476874707,3533.88503607007,21845447.0,0.18,0.268575076501392,74.624,2992300.0,68.5339571072627,105.103617843344,0.20515838265419,0.23305,186.144437389299,63.082,36.2268124010574,EaP
ARM,2017,315319.0,10.8173,10.358,3.10741,25.4032,64.7449,208092.0,71387.5,,110260.0,7.25063,2.17519,17.7822,3488520.0,119.676,99.7,90.0999984741211,55.5065519523494,2006.10861247231,7.50000000164144,3869.05373867752,3815.3747426037,28282166.0,0.19,2.15064189848613,73.609,2979400.0,68.1111272919884,104.650509308044,0.228397324681282,0.22788,268.174800295361,63.103,36.4208367812517,EaP
ARM,2018,347448.0,11.9399,10.33,2.93,25.62,68.2451,341244.0,117267.0,,171833.0,5.18,1.47,12.84,3579260.0,123.0,99.9,94.4654445463654,57.4585357681354,1938.69989895588,5.19999999965324,4196.00562301769,4027.83393010979,36529310.0,0.32,2.78770951425761,74.291,2969000.0,67.836738214504,104.285212504391,0.350590288639069,0.18876,333.108790838666,63.149,36.659576499407,EaP
ARM,2019,385704.0,13.2819,10.33,2.93,25.62,66.5439,662562.0,228157.0,,342867.0,5.18,1.47,12.84,3618750.0,124.614,100.0,94.7464467221341,53.5944174785534,2084.05063291139,7.59999999853918,4597.22887399548,4343.45839583019,45573711.0,0.28,1.06562263923419,71.007,2962500.0,67.6540902691366,104.056902002107,0.242604270577431,0.17854,477.974683544304,63.219,39.1321309128657,EaP
