geo,time,value
AT,2010,2.3
AT,2011,2.3
AT,2012,2.2
AT,2013,2.2
AT,2014,2.2
AT,2015,2.2
AT,2016,2.2
AT,2017,2.2
AT,2018,2.2
AT,2019,2.2
AT,2020,2.2
AT,2021,2.2
AT,2022,2.2
AT,2023,2.2
AT,2024,2.2
AT,2025,2.1
BA,2021,2.7
BA,2022,2.6
BA,2023,2.5
BA,2024,2.5
BA,2025,2.5
BE,2010,2.4
BE,2011,2.4
BE,2012,2.4
BE,2013,2.4
BE,2014,2.4
BE,2015,2.4
BE,2016,2.4
BE,2017,2.3
BE,2018,2.3
BE,2019,2.4
BE,2020,2.3
BE,2021,2.3
BE,2022,2.2
BE,2023,2.3
BE,2024,2.2
BE,2025,2.2
BG,2010,2.5
BG,2011,2.4
BG,2012,2.4
BG,2013,2.5
BG,2014,2.5
BG,2015,2.3
BG,2016,2.4
BG,2017,2.3
BG,2018,2.4
BG,2019,2.4
BG,2020,2.4
BG,2021,2.2
BG,2022,2.2
BG,2023,2.2
BG,2024,2.2
BG,2025,2.2
CY,2010,2.8
CY,2011,2.7
CY,2012,2.8
CY,2013,2.8
CY,2014,2.7
CY,2015,2.7
CY,2016,2.6
CY,2017,2.6
CY,2018,2.6
CY,2019,2.5
CY,2020,2.5
CY,2021,2.5
CY,2022,2.5
CY,2023,2.5
CY,2024,2.5
CY,2025,2.5
CZ,2010,2.4
CZ,2011,2.4
CZ,2012,2.4
CZ,2013,2.3
CZ,2014,2.3
CZ,2015,2.3
CZ,2016,2.3
CZ,2017,2.3
CZ,2018,2.2
CZ,2019,2.2
CZ,2020,2.2
CZ,2021,2.2
CZ,2022,2.2
CZ,2023,2.3
CZ,2024,2.3
CZ,2025,2.3
DE,2010,2.0
DE,2011,2.0
DE,2012,2.0
DE,2013,2.0
DE,2014,2.0
DE,2015,2.0
DE,2016,2.0
DE,2017,2.0
DE,2018,2.0
DE,2019,2.0
DE,2020,2.0
DE,2021,2.0
DE,2022,2.0
DE,2023,2.0
DE,2024,2.0
DE,2025,2.0
DK,2010,2.1
DK,2011,2.1
DK,2012,2.1
DK,2013,2.1
DK,2014,2.1
DK,2015,2.1
DK,2016,2.1
DK,2017,2.1
DK,2018,2.1
DK,2019,2.1
DK,2020,2.0
DK,2021,1.9
DK,2022,1.9
DK,2023,1.9
DK,2024,1.9
DK,2025,1.9
EA21,2010,2.3
EA21,2011,2.3
EA21,2012,2.3
EA21,2013,2.3
EA21,2014,2.3
EA21,2015,2.3
EA21,2016,2.3
EA21,2017,2.2
EA21,2018,2.2
EA21,2019,2.2
EA21,2020,2.2
EA21,2021,2.2
EA21,2022,2.2
EA21,2023,2.2
EA21,2024,2.2
EA21,2025,2.2
EE,2010,2.3
EE,2011,2.3
EE,2012,2.3
EE,2013,2.3
EE,2014,2.2
EE,2015,2.2
EE,2016,2.2
EE,2017,2.2
EE,2018,2.1
EE,2019,2.0
EE,2020,2.1
EE,2021,1.9
EE,2022,1.9
EE,2023,1.9
EE,2024,1.8
EE,2025,1.8
EL,2010,2.5
EL,2011,2.5
EL,2012,2.4
EL,2013,2.4
EL,2014,2.4
EL,2015,2.4
EL,2016,2.4
EL,2017,2.4
EL,2018,2.3
EL,2019,2.3
EL,2020,2.3
EL,2021,2.6
EL,2022,2.6
EL,2023,2.6
EL,2024,2.6
EL,2025,2.6
ES,2010,2.6
ES,2011,2.6
ES,2012,2.6
ES,2013,2.5
ES,2014,2.5
ES,2015,2.5
ES,2016,2.5
ES,2017,2.5
ES,2018,2.5
ES,2019,2.5
ES,2020,2.5
ES,2021,2.5
ES,2022,2.5
ES,2023,2.5
ES,2024,2.5
ES,2025,2.5
EU27_2020,2010,2.4
