freq,unit,geo,year,bb_hh,cc,lvl,gdp_pps,country
A,PC_HH,AT11,2010,62.87,AT,2,84.0,AUT
A,PC_HH,AT11,2011,67.31,AT,2,85.0,AUT
A,PC_HH,AT11,2012,73.06,AT,2,89.0,AUT
A,PC_HH,AT11,2013,78.42,AT,2,89.0,AUT
A,PC_HH,AT11,2014,80.23,AT,2,89.0,AUT
A,PC_HH,AT11,2016,82.54,AT,2,90.0,AUT
A,PC_HH,AT11,2017,85.05,AT,2,88.0,AUT
A,PC_HH,AT11,2018,88.81,AT,2,87.0,AUT
A,PC_HH,AT11,2019,87.01,AT,2,86.0,AUT
A,PC_HH,AT11,2020,86.45,AT,2,85.0,AUT
A,PC_HH,AT11,2021,90.7,AT,2,85.0,AUT
A,PC_HH,AT12,2010,62.2,AT,2,103.0,AUT
A,PC_HH,AT12,2011,73.86,AT,2,104.0,AUT
A,PC_HH,AT12,2012,75.34,AT,2,108.0,AUT
A,PC_HH,AT12,2013,74.12,AT,2,107.0,AUT
A,PC_HH,AT12,2014,76.17,AT,2,107.0,AUT
A,PC_HH,AT12,2016,82.53,AT,2,106.0,AUT
A,PC_HH,AT12,2017,88.86,AT,2,104.0,AUT
A,PC_HH,AT12,2018,84.54,AT,2,104.0,AUT
A,PC_HH,AT12,2019,91.01,AT,2,105.0,AUT
A,PC_HH,AT12,2020,90.4,AT,2,101.0,AUT
A,PC_HH,AT12,2021,90.7,AT,2,100.0,AUT
A,PC_HH,AT13,2010,68.0,AT,2,163.0,AUT
A,PC_HH,AT13,2011,74.31,AT,2,161.0,AUT
A,PC_HH,AT13,2012,81.78,AT,2,163.0,AUT
A,PC_HH,AT13,2013,82.83,AT,2,161.0,AUT
A,PC_HH,AT13,2014,82.61,AT,2,157.0,AUT
A,PC_HH,AT13,2016,88.45,AT,2,153.0,AUT
A,PC_HH,AT13,2017,88.77,AT,2,146.0,AUT
A,PC_HH,AT13,2018,89.81,AT,2,147.0,AUT
A,PC_HH,AT13,2019,91.43,AT,2,144.0,AUT
A,PC_HH,AT13,2020,91.94,AT,2,144.0,AUT
A,PC_HH,AT13,2021,92.49,AT,2,143.0,AUT
A,PC_HH,AT21,2010,57.13,AT,2,108.0,AUT
A,PC_HH,AT21,2011,66.22,AT,2,109.0,AUT
A,PC_HH,AT21,2012,75.63,AT,2,112.0,AUT
A,PC_HH,AT21,2013,74.71,AT,2,111.0,AUT
A,PC_HH,AT21,2014,73.49,AT,2,112.0,AUT
A,PC_HH,AT21,2016,83.75,AT,2,108.0,AUT
A,PC_HH,AT21,2017,84.75,AT,2,107.0,AUT
A,PC_HH,AT21,2018,84.38,AT,2,109.0,AUT
A,PC_HH,AT21,2019,87.09,AT,2,108.0,AUT
A,PC_HH,AT21,2020,84.95,AT,2,108.0,AUT
A,PC_HH,AT21,2021,89.48,AT,2,107.0,AUT
A,PC_HH,AT22,2010,62.65,AT,2,112.0,AUT
A,PC_HH,AT22,2011,66.92,AT,2,114.0,AUT
A,PC_HH,AT22,2012,76.91,AT,2,119.0,AUT
A,PC_HH,AT22,2013,81.32,AT,2,117.0,AUT
A,PC_HH,AT22,2014,78.22,AT,2,117.0,AUT
A,PC_HH,AT22,2016,82.45,AT,2,116.0,AUT
A,PC_HH,AT22,2017,89.88,AT,2,116.0,AUT
A,PC_HH,AT22,2018,86.71,AT,2,115.0,AUT
