country,year,ntl_sum,ntl_lit,sensor
CYP,2009,111715.0,4489,DMSP
FRA,2009,10844172.0,561728,DMSP
UKR,2009,2879669.0,136681,DMSP
BLR,2009,887344.0,48753,DMSP
LTU,2009,346274.0,18064,DMSP
CZE,2009,1988960.0,117203,DMSP
DEU,2009,9500205.0,504104,DMSP
EST,2009,397918.0,18613,DMSP
LVA,2009,248018.0,12380,DMSP
SWE,2009,3862857.0,200116,DMSP
FIN,2009,3885957.0,180645,DMSP
LUX,2009,102446.0,4673,DMSP
BEL,2009,1674450.0,53538,DMSP
GEO,2009,139459.0,6510,DMSP
AZE,2009,321255.0,13470,DMSP
ESP,2009,7051890.0,281152,DMSP
ARM,2009,100378.0,5019,DMSP
DNK,2009,856210.0,45832,DMSP
ROU,2009,1804779.0,95740,DMSP
HUN,2009,1029605.0,65125,DMSP
SVK,2009,624715.0,40168,DMSP
POL,2009,6169404.0,366757,DMSP
IRL,2009,1097631.0,60637,DMSP
GRC,2009,1412370.0,63875,DMSP
AUT,2009,1416950.0,85979,DMSP
ITA,2009,8872384.0,348773,DMSP
NLD,2009,1793262.0,66291,DMSP
HRV,2009,774180.0,45407,DMSP
SVN,2009,353799.0,21009,DMSP
BGR,2009,757354.0,32584,DMSP
PRT,2009,1747395.0,70015,DMSP
MDA,2009,147308.0,5096,DMSP
MLT,2009,22349.0,473,DMSP
CYP,2010,119462.0,4222,DMSP
FRA,2010,11302616.0,503477,DMSP
UKR,2010,3715970.0,128809,DMSP
BLR,2010,1802833.0,65274,DMSP
LTU,2010,827565.0,32360,DMSP
CZE,2010,2404465.0,115780,DMSP
DEU,2010,12202273.0,551815,DMSP
EST,2010,634190.0,25625,DMSP
LVA,2010,513768.0,18864,DMSP
SWE,2010,6110634.0,252361,DMSP
FIN,2010,4862738.0,189718,DMSP
LUX,2010,137480.0,4684,DMSP
BEL,2010,1954147.0,54285,DMSP
GEO,2010,158173.0,5851,DMSP
AZE,2010,372248.0,12235,DMSP
ESP,2010,6750377.0,238934,DMSP
ARM,2010,105243.0,3998,DMSP
DNK,2010,1407675.0,67994,DMSP
ROU,2010,1806508.0,77106,DMSP
HUN,2010,1109227.0,54072,DMSP
SVK,2010,748027.0,39055,DMSP
POL,2010,9450347.0,461285,DMSP
IRL,2010,1215230.0,54618,DMSP
GRC,2010,1392987.0,53935,DMSP
AUT,2010,1542049.0,77178,DMSP
ITA,2010,8792816.0,319273,DMSP
NLD,2010,2107731.0,66625,DMSP
HRV,2010,835039.0,41240,DMSP
SVN,2010,382334.0,18866,DMSP
BGR,2010,777039.0,27346,DMSP
PRT,2010,1742771.0,61417,DMSP
MDA,2010,174074.0,5161,DMSP
MLT,2010,23253.0,473,DMSP
CYP,2011,112537.0,3926,DMSP
FRA,2011,9868164.0,406509,DMSP
UKR,2011,3568383.0,118697,DMSP
BLR,2011,1646463.0,54898,DMSP
LTU,2011,618699.0,20166,DMSP
CZE,2011,1718293.0,84905,DMSP
DEU,2011,8900393.0,397924,DMSP
EST,2011,403578.0,15715,DMSP
LVA,2011,343411.0,12204,DMSP
SWE,2011,4634187.0,201179,DMSP
FIN,2011,3658525.0,153281,DMSP
LUX,2011,104516.0,4619,DMSP
BEL,2011,1630175.0,50920,DMSP
GEO,2011,203600.0,7078,DMSP
AZE,2011,360975.0,11460,DMSP
ESP,2011,6715725.0,230102,DMSP
ARM,2011,130107.0,5006,DMSP
DNK,2011,839051.0,34265,DMSP
ROU,2011,2113055.0,80055,DMSP
HUN,2011,966732.0,40118,DMSP
SVK,2011,637057.0,29379,DMSP
POL,2011,7010351.0,349059,DMSP
IRL,2011,952900.0,39896,DMSP
GRC,2011,1326317.0,51776,DMSP
AUT,2011,1281510.0,60349,DMSP
ITA,2011,8747197.0,309357,DMSP
NLD,2011,1686821.0,60608,DMSP
HRV,2011,761319.0,35515,DMSP
SVN,2011,302626.0,14173,DMSP
BGR,2011,770934.0,26423,DMSP
PRT,2011,1829839.0,63128,DMSP
MDA,2011,174538.0,4813,DMSP
MLT,2011,22747.0,471,DMSP
CYP,2012,117842.0,4350,DMSP
FRA,2012,10828421.0,490034,DMSP
UKR,2012,4155559.0,168936,DMSP
BLR,2012,1782575.0,89410,DMSP
LTU,2012,602942.0,28968,DMSP
CZE,2012,2137137.0,111838,DMSP
DEU,2012,10072964.0,482470,DMSP
EST,2012,543033.0,24816,DMSP
LVA,2012,389874.0,18137,DMSP
SWE,2012,5252581.0,247473,DMSP
FIN,2012,4806698.0,207431,DMSP
LUX,2012,120410.0,4688,DMSP
BEL,2012,1816947.0,53011,DMSP
GEO,2012,245506.0,10589,DMSP
AZE,2012,469223.0,18067,DMSP
ESP,2012,6802887.0,250632,DMSP
ARM,2012,160674.0,6801,DMSP
DNK,2012,1055644.0,52976,DMSP
ROU,2012,2324656.0,113921,DMSP
HUN,2012,1117556.0,60603,DMSP
SVK,2012,758246.0,42819,DMSP
POL,2012,8429495.0,444938,DMSP
IRL,2012,1086096.0,50980,DMSP
GRC,2012,1428609.0,58875,DMSP
AUT,2012,1554982.0,80539,DMSP
ITA,2012,9545498.0,336274,DMSP
NLD,2012,1895852.0,64073,DMSP
HRV,2012,943369.0,48001,DMSP
SVN,2012,355721.0,18732,DMSP
BGR,2012,884814.0,39177,DMSP
PRT,2012,1855587.0,69441,DMSP
MDA,2012,235417.0,7922,DMSP
MLT,2012,23067.0,467,DMSP
CYP,2013,118039.0,4237,DMSP
FRA,2013,10511957.0,461050,DMSP
UKR,2013,3227612.0,116503,DMSP
BLR,2013,1372093.0,57254,DMSP
LTU,2013,421834.0,19117,DMSP
CZE,2013,1592108.0,80431,DMSP
DEU,2013,8970836.0,422714,DMSP
EST,2013,439004.0,19737,DMSP
LVA,2013,315169.0,14117,DMSP
SWE,2013,4661245.0,227897,DMSP
FIN,2013,4675601.0,207046,DMSP
LUX,2013,112755.0,4684,DMSP
BEL,2013,1725344.0,52363,DMSP
GEO,2013,225835.0,9464,DMSP
AZE,2013,451470.0,16716,DMSP
ESP,2013,6414580.0,231860,DMSP
ARM,2013,141103.0,6162,DMSP
DNK,2013,908366.0,40740,DMSP
ROU,2013,1819723.0,68615,DMSP
HUN,2013,922430.0,40034,DMSP
SVK,2013,691774.0,35756,DMSP
POL,2013,6017564.0,305923,DMSP
IRL,2013,1032758.0,44900,DMSP
GRC,2013,1419651.0,55915,DMSP
AUT,2013,1350022.0,68184,DMSP
ITA,2013,8937297.0,323067,DMSP
NLD,2013,1776944.0,63875,DMSP
HRV,2013,815120.0,38794,DMSP
SVN,2013,318736.0,16091,DMSP
BGR,2013,734497.0,26989,DMSP
PRT,2013,1720293.0,64365,DMSP
MDA,2013,183756.0,5343,DMSP
MLT,2013,23656.0,467,DMSP
CYP,2014,101106.0,3994,VIIRSsim
FRA,2014,6696073.0,250698,VIIRSsim
UKR,2014,1658061.0,57264,VIIRSsim
BLR,2014,611099.0,19706,VIIRSsim
LTU,2014,229846.0,7484,VIIRSsim
CZE,2014,986538.0,36722,VIIRSsim
DEU,2014,4406245.0,164629,VIIRSsim
EST,2014,290650.0,8978,VIIRSsim
LVA,2014,213869.0,7253,VIIRSsim
SWE,2014,2860732.0,88885,VIIRSsim
FIN,2014,2921329.0,91205,VIIRSsim
LUX,2014,87967.0,3191,VIIRSsim
BEL,2014,1460180.0,43019,VIIRSsim
GEO,2014,224852.0,11410,VIIRSsim
AZE,2014,460044.0,23356,VIIRSsim
ESP,2014,5307274.0,202672,VIIRSsim
ARM,2014,64193.0,3376,VIIRSsim
DNK,2014,403592.0,14103,VIIRSsim
ROU,2014,1215627.0,53973,VIIRSsim
HUN,2014,651385.0,23629,VIIRSsim
SVK,2014,339615.0,12809,VIIRSsim
POL,2014,4096389.0,138003,VIIRSsim
IRL,2014,466080.0,15806,VIIRSsim
GRC,2014,1118371.0,51772,VIIRSsim
AUT,2014,550541.0,22336,VIIRSsim
ITA,2014,8115869.0,294346,VIIRSsim
NLD,2014,1429831.0,42530,VIIRSsim
HRV,2014,575393.0,23981,VIIRSsim
SVN,2014,175825.0,7332,VIIRSsim
BGR,2014,524678.0,25551,VIIRSsim
PRT,2014,1678232.0,65664,VIIRSsim
MDA,2014,73688.0,2450,VIIRSsim
MLT,2014,23302.0,467,VIIRSsim
CYP,2015,99733.0,3818,VIIRSsim
FRA,2015,6491425.0,237887,VIIRSsim
UKR,2015,1212602.0,42476,VIIRSsim
BLR,2015,447030.0,14971,VIIRSsim
