var,country,year,wb
gdp_per_capita,ARM,2024,8556.21406956719
gdp_per_capita,ARM,2023,8159.08720967996
gdp_per_capita,ARM,2022,6571.97445545099
gdp_per_capita,ARM,2021,4685.17997128509
gdp_per_capita,ARM,2020,4268.68093304583
gdp_per_capita,ARM,2019,4597.22887399548
gdp_per_capita,ARM,2018,4196.00562301769
gdp_per_capita,ARM,2017,3869.05373867752
gdp_per_capita,ARM,2016,3524.42476874707
gdp_per_capita,ARM,2015,3512.39350276709
gdp_per_capita,ARM,2014,3852.11800610384
gdp_per_capita,ARM,2013,3680.16692158886
gdp_per_capita,ARM,2012,3511.56399687426
gdp_per_capita,ARM,2011,3349.55309771906
gdp_per_capita,ARM,2010,3041.34450723339
gdp_per_capita,AUT,2024,58268.8787651601
gdp_per_capita,AUT,2023,56579.504175468
gdp_per_capita,AUT,2022,52336.7725223758
gdp_per_capita,AUT,2021,53648.6437976214
gdp_per_capita,AUT,2020,48716.4098900349
gdp_per_capita,AUT,2019,49885.9947355204
gdp_per_capita,AUT,2018,51194.0749841299
gdp_per_capita,AUT,2017,47163.7425775142
gdp_per_capita,AUT,2016,45061.4993920192
gdp_per_capita,AUT,2015,43915.228020857
gdp_per_capita,AUT,2014,51314.9722616322
gdp_per_capita,AUT,2013,50305.3545774973
gdp_per_capita,AUT,2012,48250.4059142637
gdp_per_capita,AUT,2011,51116.8953522042
gdp_per_capita,AUT,2010,46611.1393420232
gdp_per_capita,AZE,2024,7294.64276088105
gdp_per_capita,AZE,2023,7133.02838048328
gdp_per_capita,AZE,2022,7770.594223351
gdp_per_capita,AZE,2021,5408.04535175023
gdp_per_capita,AZE,2020,4229.91064904503
gdp_per_capita,AZE,2019,4805.75371765917
gdp_per_capita,AZE,2018,4739.7943123408
gdp_per_capita,AZE,2017,4147.1981423222
gdp_per_capita,AZE,2016,3880.6852276838
gdp_per_capita,AZE,2015,5500.50364628486
gdp_per_capita,AZE,2014,7890.84028062087
gdp_per_capita,AZE,2013,7875.34536661549
gdp_per_capita,AZE,2012,7495.86527658099
gdp_per_capita,AZE,2011,7189.81869211976
gdp_per_capita,AZE,2010,5843.5337683582
gdp_per_capita,BEL,2024,56581.9375642531
gdp_per_capita,BEL,2023,55244.68145811
gdp_per_capita,BEL,2022,50639.0264882739
gdp_per_capita,BEL,2021,51658.238294958
gdp_per_capita,BEL,2020,45906.2875805246
gdp_per_capita,BEL,2019,46716.6227467964
gdp_per_capita,BEL,2018,47487.2100392561
gdp_per_capita,BEL,2017,44035.3239358548
gdp_per_capita,BEL,2016,41854.5498296444
gdp_per_capita,BEL,2015,40893.804537772
gdp_per_capita,BEL,2014,47995.7786961339
gdp_per_capita,BEL,2013,46964.5946777056
gdp_per_capita,BEL,2012,44874.1709182123
gdp_per_capita,BEL,2011,47760.8298776546
gdp_per_capita,BEL,2010,44197.393671162
gdp_per_capita,BGR,2024,17596.9167621233
gdp_per_capita,BGR,2023,15854.0192893772
gdp_per_capita,BGR,2022,13999.9113358453
gdp_per_capita,BGR,2021,12966.8085197381
gdp_per_capita,BGR,2020,10760.7616180234
gdp_per_capita,BGR,2019,10354.2500414088
gdp_per_capita,BGR,2018,9849.88769989118
gdp_per_capita,BGR,2017,8697.13373333715
gdp_per_capita,BGR,2016,7822.89886431732
gdp_per_capita,BGR,2015,7269.02586513711
gdp_per_capita,BGR,2014,8070.01289303544
gdp_per_capita,BGR,2013,7796.37945241455
gdp_per_capita,BGR,2012,7432.33753378983
gdp_per_capita,BGR,2011,7849.98219737366
gdp_per_capita,BGR,2010,6854.2987837778
gdp_per_capita,BLR,2024,8605.60954569694
gdp_per_capita,BLR,2023,7896.75388295584
gdp_per_capita,BLR,2022,7994.64806074889
gdp_per_capita,BLR,2021,7489.71894713888
gdp_per_capita,BLR,2020,6542.85579976768
gdp_per_capita,BLR,2019,6837.77339645635
gdp_per_capita,BLR,2018,6360.037502312
gdp_per_capita,BLR,2017,5785.54491935194
gdp_per_capita,BLR,2016,5039.77560949445
gdp_per_capita,BLR,2015,5967.05595058777
gdp_per_capita,BLR,2014,8341.31809294883
gdp_per_capita,BLR,2013,7998.0802045456
gdp_per_capita,BLR,2012,6953.21591683101
gdp_per_capita,BLR,2011,6527.6593428786
gdp_per_capita,BLR,2010,6034.67885177216
gdp_per_capita,CYP,2024,38674.3125
gdp_per_capita,CYP,2023,36623.70703125
gdp_per_capita,CYP,2022,33231.05078125
gdp_per_capita,CYP,2021,32937.8359375
gdp_per_capita,CYP,2020,28130.330078125
gdp_per_capita,CYP,2019,29227.16796875
gdp_per_capita,CYP,2018,29120.38671875
gdp_per_capita,CYP,2017,26247.46484375
gdp_per_capita,CYP,2016,24280.044921875
gdp_per_capita,CYP,2015,23088.4296875
gdp_per_capita,CYP,2014,26993.095703125
gdp_per_capita,CYP,2013,27764.7265625
gdp_per_capita,CYP,2012,28991.9296875
gdp_per_capita,CYP,2011,32485.8046875
gdp_per_capita,CYP,2010,31105.02734375
gdp_per_capita,CZE,2024,31827.7552539413
gdp_per_capita,CZE,2023,31761.5944102491
gdp_per_capita,CZE,2022,28282.2236715857
gdp_per_capita,CZE,2021,27696.4619527544
gdp_per_capita,CZE,2020,23472.8915454417
gdp_per_capita,CZE,2019,24062.7190013343
gdp_per_capita,CZE,2018,23705.9329811299
gdp_per_capita,CZE,2017,20913.197632212
gdp_per_capita,CZE,2016,18753.9686718096
gdp_per_capita,CZE,2015,17931.5987670768
gdp_per_capita,CZE,2014,20038.4163180257
gdp_per_capita,CZE,2013,20260.4954999375
gdp_per_capita,CZE,2012,20014.0354015165
gdp_per_capita,CZE,2011,22049.1080788682
gdp_per_capita,CZE,2010,20160.4355077059
gdp_per_capita,DEU,2024,56103.7323182554
gdp_per_capita,DEU,2023,54776.7668235491
gdp_per_capita,DEU,2022,50506.5179638543
gdp_per_capita,DEU,2021,52349.2459994422
gdp_per_capita,DEU,2020,47394.8734504469
gdp_per_capita,DEU,2019,47656.199739747
gdp_per_capita,DEU,2018,48916.1686612154
gdp_per_capita,DEU,2017,45553.9341495339
gdp_per_capita,DEU,2016,42948.9381932694
gdp_per_capita,DEU,2015,41929.7549110722
gdp_per_capita,DEU,2014,48959.5991203133
gdp_per_capita,DEU,2013,47206.8353514242
gdp_per_capita,DEU,2012,44718.0159214069
gdp_per_capita,DEU,2011,47630.9761883572
gdp_per_capita,DEU,2010,42396.9665976293
gdp_per_capita,DNK,2024,71026.4832271897
gdp_per_capita,DNK,2023,68043.5466971243
gdp_per_capita,DNK,2022,67781.0940939514
gdp_per_capita,DNK,2021,69340.7334922138
gdp_per_capita,DNK,2020,60985.4885601514
gdp_per_capita,DNK,2019,59404.2663247723
gdp_per_capita,DNK,2018,61324.7665045565
gdp_per_capita,DNK,2017,57521.5514992225
gdp_per_capita,DNK,2016,54500.9260410217
gdp_per_capita,DNK,2015,53094.0133607574
gdp_per_capita,DNK,2014,62520.4509747011
gdp_per_capita,DNK,2013,61377.5940590412
gdp_per_capita,DNK,2012,58443.7747103968
gdp_per_capita,DNK,2011,61809.737898222
gdp_per_capita,DNK,2010,58104.5445594981
gdp_per_capita,ESP,2024,35326.7683069278
gdp_per_capita,ESP,2023,33493.2225409111
gdp_per_capita,ESP,2022,30319.4987196616
gdp_per_capita,ESP,2021,30799.4775937775
gdp_per_capita,ESP,2020,27233.9426461608
gdp_per_capita,ESP,2019,29786.5245689007
gdp_per_capita,ESP,2018,30602.4212881113
gdp_per_capita,ESP,2017,28381.3425596906
gdp_per_capita,ESP,2016,26755.6061149398
gdp_per_capita,ESP,2015,25982.4416197775
gdp_per_capita,ESP,2014,29707.765509467
gdp_per_capita,ESP,2013,29228.846559842
gdp_per_capita,ESP,2012,28456.4438151477
gdp_per_capita,ESP,2011,31824.6219134777
gdp_per_capita,ESP,2010,30658.7422282912
gdp_per_capita,EST,2024,31428.3547816104
gdp_per_capita,EST,2023,30264.0064885057
gdp_per_capita,EST,2022,28340.3826549406
gdp_per_capita,EST,2021,27951.1659277744
gdp_per_capita,EST,2020,23933.9939421065
gdp_per_capita,EST,2019,24021.2501413306
gdp_per_capita,EST,2018,23618.1361254581
gdp_per_capita,EST,2017,20851.5223496861
gdp_per_capita,EST,2016,18666.3736521706
gdp_per_capita,EST,2015,17722.1557669523
gdp_per_capita,EST,2014,20581.7898991695
gdp_per_capita,EST,2013,19310.3874900757
gdp_per_capita,EST,2012,17568.2137969714
gdp_per_capita,EST,2011,17555.5455239426
gdp_per_capita,EST,2010,14663.7041018705
gdp_per_capita,FIN,2024,53155.5451165897
gdp_per_capita,FIN,2023,52864.6931581216
gdp_per_capita,FIN,2022,50440.560224974
gdp_per_capita,FIN,2021,53099.1351400148
gdp_per_capita,FIN,2020,48828.6846862799
gdp_per_capita,FIN,2019,48358.1807773701
gdp_per_capita,FIN,2018,49654.2497035329
gdp_per_capita,FIN,2017,46085.0174739036
gdp_per_capita,FIN,2016,43451.2562442158
gdp_per_capita,FIN,2015,42560.3456767103
gdp_per_capita,FIN,2014,50073.7760815871
gdp_per_capita,FIN,2013,49691.0145200739
gdp_per_capita,FIN,2012,47551.6740841369
gdp_per_capita,FIN,2011,51060.3242589767
gdp_per_capita,FIN,2010,46506.2919016566
gdp_per_capita,FRA,2024,46103.0840855884
gdp_per_capita,FRA,2023,44700.1384177544
gdp_per_capita,FRA,2022,40988.6396406579
gdp_per_capita,FRA,2021,43725.0999521245
gdp_per_capita,FRA,2020,39169.8606000707
gdp_per_capita,FRA,2019,40408.2848574751
gdp_per_capita,FRA,2018,41418.1766484844
gdp_per_capita,FRA,2017,38687.1626407164
gdp_per_capita,FRA,2016,37024.2157133669
gdp_per_capita,FRA,2015,36702.4323733379
gdp_per_capita,FRA,2014,43148.0459288416
gdp_per_capita,FRA,2013,42669.1795111893
gdp_per_capita,FRA,2012,40863.5814412333
gdp_per_capita,FRA,2011,43929.7840873812
gdp_per_capita,FRA,2010,40694.8211697025
gdp_per_capita,GEO,2024,8967.67525638987
gdp_per_capita,GEO,2023,8283.66960652261
gdp_per_capita,GEO,2022,6729.84659930283
gdp_per_capita,GEO,2021,5083.60695484577
gdp_per_capita,GEO,2020,4300.85701291207
gdp_per_capita,GEO,2019,4741.2832715876
gdp_per_capita,GEO,2018,4804.0546040444
gdp_per_capita,GEO,2017,4418.75206546679
gdp_per_capita,GEO,2016,4143.40125686315
gdp_per_capita,GEO,2015,4086.6223465965
gdp_per_capita,GEO,2014,4830.33486170249
gdp_per_capita,GEO,2013,4712.00229382665
gdp_per_capita,GEO,2012,4530.69533409431
gdp_per_capita,GEO,2011,4119.66818307193
gdp_per_capita,GEO,2010,3281.72930937343
gdp_per_capita,GRC,2024,24626.1481858973
gdp_per_capita,GRC,2023,23343.7103964562
gdp_per_capita,GRC,2022,20884.6773436263
gdp_per_capita,GRC,2021,20652.89659591
gdp_per_capita,GRC,2020,17886.733165236
gdp_per_capita,GRC,2019,19335.3602002969
gdp_per_capita,GRC,2018,19873.4015238771
gdp_per_capita,GRC,2017,18631.9930129293
gdp_per_capita,GRC,2016,17919.2426377048
gdp_per_capita,GRC,2015,17980.7298238137
gdp_per_capita,GRC,2014,21474.7257123892
gdp_per_capita,GRC,2013,21573.3449762805
gdp_per_capita,GRC,2012,21624.346052551
gdp_per_capita,GRC,2011,25504.7866510124
gdp_per_capita,GRC,2010,26653.0488008626
gdp_per_capita,HRV,2024,24049.9441746337
gdp_per_capita,HRV,2023,22183.4982258492
gdp_per_capita,HRV,2022,18465.531473659
gdp_per_capita,HRV,2021,17788.7601163765
gdp_per_capita,HRV,2020,14807.5559227544
gdp_per_capita,HRV,2019,15563.7354996625
gdp_per_capita,HRV,2018,15460.4560798984
gdp_per_capita,HRV,2017,13901.6498657787
gdp_per_capita,HRV,2016,12820.1872746645
gdp_per_capita,HRV,2015,12283.8750299177
gdp_per_capita,HRV,2014,14186.7712230471
gdp_per_capita,HRV,2013,14135.0903485872
gdp_per_capita,HRV,2012,13507.6349882758
gdp_per_capita,HRV,2011,14691.591757962
gdp_per_capita,HRV,2010,13729.7472872883
gdp_per_capita,HUN,2024,23305.4482514359
gdp_per_capita,HUN,2023,22208.6509820466
gdp_per_capita,HUN,2022,18428.028825614
gdp_per_capita,HUN,2021,19030.628130329
gdp_per_capita,HUN,2020,16386.9308821258
gdp_per_capita,HUN,2019,17012.8598553199
gdp_per_capita,HUN,2018,16605.0570511887
gdp_per_capita,HUN,2017,14736.1668157258
gdp_per_capita,HUN,2016,13215.8605277789
gdp_per_capita,HUN,2015,12782.9412577973
gdp_per_capita,HUN,2014,14352.501883174
gdp_per_capita,HUN,2013,13739.4620151401
gdp_per_capita,HUN,2012,12950.1594488143
gdp_per_capita,HUN,2011,14211.460557822
gdp_per_capita,HUN,2010,13189.8433874768
gdp_per_capita,IRL,2024,112894.953240805
gdp_per_capita,IRL,2023,106818.917130804
gdp_per_capita,IRL,2022,105190.685952731
gdp_per_capita,IRL,2021,103783.446284479
gdp_per_capita,IRL,2020,86514.0706108754
gdp_per_capita,IRL,2019,81827.6688873996
gdp_per_capita,IRL,2018,80804.1123164826
gdp_per_capita,IRL,2017,72161.4047531385
gdp_per_capita,IRL,2016,64129.5571542383
gdp_per_capita,IRL,2015,64250.1385181257
gdp_per_capita,IRL,2014,57214.5379785709
gdp_per_capita,IRL,2013,52537.6108648692
gdp_per_capita,IRL,2012,49335.8408099555
gdp_per_capita,IRL,2011,52613.8540355689
gdp_per_capita,IRL,2010,48623.9666422487
gdp_per_capita,ITA,2024,40429.6224047352
gdp_per_capita,ITA,2023,39279.699782164
gdp_per_capita,ITA,2022,35653.9042103495
gdp_per_capita,ITA,2021,36852.5425414951
gdp_per_capita,ITA,2020,32091.4866621366
gdp_per_capita,ITA,2019,33812.788724868
gdp_per_capita,ITA,2018,35062.3364176949
gdp_per_capita,ITA,2017,32844.115660604
gdp_per_capita,ITA,2016,31391.5692898108
gdp_per_capita,ITA,2015,30639.8829751432
gdp_per_capita,ITA,2014,36028.3494022349
gdp_per_capita,ITA,2013,35701.6746002376
gdp_per_capita,ITA,2012,34854.3949441965
gdp_per_capita,ITA,2011,38432.3742820019
gdp_per_capita,ITA,2010,35856.8625485539
gdp_per_capita,LTU,2024,29603.7772588256
gdp_per_capita,LTU,2023,27983.3658256887
gdp_per_capita,LTU,2022,24946.5724005188
gdp_per_capita,LTU,2021,23882.8668916753
gdp_per_capita,LTU,2020,20428.6478157394
gdp_per_capita,LTU,2019,19608.7943945553
gdp_per_capita,LTU,2018,19247.2315367967
gdp_per_capita,LTU,2017,16800.1510246099
gdp_per_capita,LTU,2016,14934.2702840428
gdp_per_capita,LTU,2015,14269.8039878287
gdp_per_capita,LTU,2014,16446.1647181663
gdp_per_capita,LTU,2013,15636.5252586048
gdp_per_capita,LTU,2012,14288.1853493139
gdp_per_capita,LTU,2011,14261.8433787325
