country,eap,b,se,n
ARM,1,-0.4134111006996052,0.15660580077618455,7
AUT,0,-0.020520836801062647,0.04561224195282414,8
AZE,1,-0.7487273157949623,0.34210485218184916,7
BEL,0,0.013752875655125452,0.03462836860268074,7
BGR,0,-0.041225814246909354,0.1025617174653164,7
BLR,1,-0.20992806593844346,0.10544342843828801,7
CYP,0,-0.02218981124261346,0.019508052831644227,7
CZE,0,-0.20134273236165345,0.06180189494871928,7
DEU,0,-0.034191930284399194,0.034357691632106925,7
DNK,0,0.016608257329574834,0.0747722095974843,7
ESP,0,0.033908621648302155,0.08833679581612562,8
EST,0,0.1738905525648827,0.13129333032891025,7
FIN,0,-0.05631852137775228,0.07890440665872162,7
FRA,0,0.009197982475969327,0.029972022512341913,8
GEO,1,0.6691703222158931,0.4210791633976462,8
GRC,0,-0.02498411848163612,0.06468212122310783,7
HRV,0,0.011479381345095754,0.010000588956165669,8
HUN,0,0.04704031278650024,0.0975241882167684,7
IRL,0,-0.01665300336192072,0.019175929247776377,7
ITA,0,0.008139745811932816,0.039666581619270384,8
LTU,0,-0.26716375375245094,0.18468161864882,7
LUX,0,0.011558772330052591,0.08215307151242139,7
LVA,0,-0.0008582529123968693,0.03943844663210209,8
MDA,1,-0.4090462620794213,0.22936453484348834,7
MLT,0,0.020037723031708324,0.02213215215388739,7
NLD,0,-0.025904797389782172,0.04328459789840672,8
POL,0,-0.024921494513370647,0.08403815498512203,7
PRT,0,-0.1700208748576335,0.1485296180287081,7
ROU,0,0.12161898260475662,0.44739122686152544,5
SVK,0,0.005166775523075651,0.05394380116310697,8
SVN,0,-0.0008093617284001473,0.02585258126082197,8
SWE,0,0.0753287633840519,0.09186650204079182,7
UKR,1,-0.04757022704200717,0.21321193609329062,8
