sample,controls,elasticity,se,pval,n_obs,r_squared,specification
Full,"log_gdp_per_capita, regulatory_quality",-0.23313311085670455,0.06642218836110209,0.0005211757516050408,329,0.23937085260492263,GDP + Regulatory Quality
EaP,"log_gdp_per_capita, regulatory_quality",-0.12248267538617409,0.061143884285450034,0.05163791408928753,60,0.15929554435469573,GDP + Regulatory Quality
EU,"log_gdp_per_capita, regulatory_quality",-0.026042071940996683,0.03757600789266452,0.4889770694766229,269,0.06563493641487361,GDP + Regulatory Quality
Full,"log_gdp_per_capita, education_tertiary",-0.2491027925101705,0.06583543473817588,0.00019047722979004256,314,0.2652714942651908,GDP + Education (Tertiary)
EaP,"log_gdp_per_capita, education_tertiary",-0.10372176080472349,0.08663772187532931,0.2379463545902203,60,0.05865875436791568,GDP + Education (Tertiary)
EU,"log_gdp_per_capita, education_tertiary",-0.04164179650640926,0.0375106154003494,0.26818149420682325,254,0.09734108433639821,GDP + Education (Tertiary)
Full,"log_gdp_per_capita, gdp_growth",-0.23996323545813342,0.06672284128790663,0.00038038305383736315,329,0.21139654073745795,GDP + Growth
EaP,"log_gdp_per_capita, gdp_growth",-0.10895800982795056,0.06500297853254308,0.10112860889930264,60,0.10388641883322769,GDP + Growth
EU,"log_gdp_per_capita, gdp_growth",-0.04763379533842459,0.03793737979876414,0.21053871930809986,269,0.1451880311703545,GDP + Growth
Full,log_gdp_per_capita,-0.23711597534245668,0.06774412716569637,0.000539413018881385,329,0.21087572582577385,GDP Only
EaP,log_gdp_per_capita,-0.09696087312248232,0.07627952001016908,0.21051726559573591,60,0.05736602149439762,GDP Only
EU,log_gdp_per_capita,-0.03525140466661703,0.04190080748958692,0.4010465381644659,269,0.0267270107173061,GDP Only
