sample,controls,elasticity,se,pval,n_obs,r_squared,specification
Full,"log_gdp_per_capita, regulatory_quality_estimate",-0.37194477311159213,0.10039871861984583,0.00025418629673557014,330,0.19527736536430718,GDP + Regulatory Quality
EaP,"log_gdp_per_capita, regulatory_quality_estimate",0.18222742731475636,0.2923500346979136,0.536445168491074,60,0.1001052646427576,GDP + Regulatory Quality
EU,"log_gdp_per_capita, regulatory_quality_estimate",-0.09827736233788674,0.0583089441396601,0.0932502706499252,270,0.0700011356016772,GDP + Regulatory Quality
Full,"log_gdp_per_capita, education_tertiary_pct",-0.4007414542000264,0.09419755663870362,2.8479083372889846e-05,330,0.25700897376144727,GDP + Education (Tertiary)
EaP,"log_gdp_per_capita, education_tertiary_pct",0.10417756591449287,0.28312278670493846,0.7147518211700463,60,0.1711911749697298,GDP + Education (Tertiary)
EU,"log_gdp_per_capita, education_tertiary_pct",-0.12650598845737993,0.060522819114027744,0.03769190663408151,270,0.08611276817257252,GDP + Education (Tertiary)
Full,"log_gdp_per_capita, urban_population_pct",-0.41136949135604106,0.10463318059859185,0.00010603207991533026,330,0.2165085348228909,GDP + Urban Population
EaP,"log_gdp_per_capita, urban_population_pct",0.18222677382761746,0.29551275477189926,0.540796562542095,60,0.09945106818071381,GDP + Urban Population
EU,"log_gdp_per_capita, urban_population_pct",-0.13529668960002436,0.06491266469300562,0.03823312488212727,270,0.06756357699284732,GDP + Urban Population
Full,log_gdp_per_capita,-0.37721406850008243,0.09627474401469172,0.00011171259918030252,330,0.18270435544751262,GDP Only
EaP,log_gdp_per_capita,0.18961126566931016,0.28865038348684274,0.514752857462248,60,0.09881180936412248,GDP Only
EU,log_gdp_per_capita,-0.11235874916724584,0.06286917298580463,0.07521325081896468,270,0.044618591259722895,GDP Only
