specification,controls,n_obs,r_squared,eu_elasticity,eu_se,eu_pval,eap_elasticity,eap_se,eap_pval,interaction_coef,interaction_se,interaction_pval,both_sig,interaction_sig,both_negative
GDP Only,log_gdp_per_capita,329,0.4424674477228464,-0.051894824299093256,0.07898382979010948,0.5116930689852939,-0.7113985952828923,0.1478572394196029,2.4370941686946423e-06,-0.659503770983799,0.12499327134079175,2.619429397832107e-07,False,True,True
GDP + Growth,"log_gdp_per_capita, gdp_growth",329,0.45098770468716876,-0.060861492093086104,0.0765360084109771,0.42716315025196083,-0.7378491438894371,0.15917503263692181,5.443720218156756e-06,-0.676987651796351,0.1395669388912717,2.03475662874375e-06,False,True,True
GDP + Inflation,"log_gdp_per_capita, inflation",329,0.470603969103634,-0.05377795110415755,0.07727733661104765,0.48705726835868335,-0.6943414173122634,0.14293221701666384,1.967605394170846e-06,-0.6405634662081059,0.1202407248298243,2.035967732183508e-07,False,True,True
GDP + Regulatory,"log_gdp_per_capita, regulatory_quality",329,0.4502407764796056,-0.06198753446545132,0.08063974586217829,0.4427141903358418,-0.6962132487284288,0.14462051699107378,2.4109829028784446e-06,-0.6342257142629775,0.12005134452411918,2.5402403380780925e-07,False,True,True
GDP + Density,"log_gdp_per_capita, log_population_density",329,0.4669775306275522,-0.029489829499538045,0.07809393694009888,0.705995981924453,-0.6922935527488603,0.14415877564495988,2.545795581454513e-06,-0.6628037232493222,0.12117379918385712,9.910793008494068e-08,False,True,True
GDP + Urban,"log_gdp_per_capita, urban_population",329,0.4441146534346596,-0.0635812661706436,0.0699620884338577,0.3642310987306896,-0.7142577524810331,0.13835467985482233,4.5978309759497904e-07,-0.6506764863103894,0.11936215321325036,1.0894896540492027e-07,False,True,True
GDP + Electricity,"log_gdp_per_capita, electricity_access",329,0.4721351799362882,-0.01489002169865964,0.06795038356240708,0.8267061184456526,-0.6678361171898711,0.1261412803068608,2.400263710011785e-07,-0.6529460954912115,0.10627496399047044,2.723576031371522e-09,False,True,True
GDP + Secure Servers,"log_gdp_per_capita, secure_servers",329,0.4854116115945535,-0.03615956596873637,0.07420778184930017,0.6264409784472833,-0.6863781357832546,0.14152543094774578,2.0420921427177774e-06,-0.6502185698145182,0.12050996937163262,1.445080095585638e-07,False,True,True
GDP + High-Tech,"log_gdp_per_capita, high_tech_exports",328,0.42773391633836844,-0.048827577224921,0.07920511688279604,0.5380817022243742,-0.6822606028142635,0.14371110224960554,3.2811573511537517e-06,-0.6334330255893424,0.11991426257697288,2.5533437386648927e-07,False,True,True
GDP + Education (Secondary),"log_gdp_per_capita, education_secondary",313,0.4283035163021831,-0.051272085001455664,0.07611436085319648,0.5011362228935261,-0.6952281543921721,0.166066194330896,3.8507867677894936e-05,-0.6439560693907165,0.1475960194973303,1.8349965292818737e-05,False,True,True
GDP + Education (Tertiary),"log_gdp_per_capita, education_tertiary",321,0.4846943235997987,-0.08242368157541081,0.06859945555102981,0.2305829242797408,-0.7137060177395814,0.13494928152066377,2.516020438658728e-07,-0.6312823361641706,0.11621283612856907,1.2262678472652055e-07,False,True,True
GDP + R&D,"log_gdp_per_capita, rd_expenditure",326,0.4890519281724206,-0.06117025938108617,0.08023459977904472,0.4464675194559855,-0.7197134187630647,0.14999897203202656,2.6081376489628383e-06,-0.6585431593819786,0.12673634288932753,3.9251653549676746e-07,False,True,True
GDP + Mobile Price,"log_gdp_per_capita, log_mobile_broad_price",228,0.11322263589611559,-0.050536895259553495,0.05091460306312924,0.32221038722843565,-0.4127876217525667,0.2865964089084519,0.15146994792468016,-0.3622507264930132,0.2820375946467856,0.2006060432681711,False,False,True
GDP + Growth + Density,"log_gdp_per_capita, gdp_growth, log_population_density",329,0.4739145795079187,-0.03829303993875294,0.0763176943098143,0.6162290240931958,-0.7167970190709658,0.1533343285243563,4.567285232459639e-06,-0.6785039791322128,0.13299257813595827,6.188213541591381e-07,False,True,True
GDP + Growth + Urban,"log_gdp_per_capita, gdp_growth, urban_population",329,0.4526349828707328,-0.072548229180032,0.06753044004263992,0.28360476221431274,-0.7407084764766451,0.15163884844769598,1.738763862002557e-06,-0.668160247296613,0.1357717939271288,1.465024297875317e-06,False,True,True
GDP + Regulatory + Electricity,"log_gdp_per_capita, regulatory_quality, electricity_access",329,0.4768742441504731,-0.024532784406638287,0.07071241104639357,0.7288970591608059,-0.6579131794845987,0.1246497364936473,2.608290490258014e-07,-0.6333803950779604,0.10265140881615598,2.3625823519779487e-09,False,True,True
GDP + Regulatory + Servers,"log_gdp_per_capita, regulatory_quality, secure_servers",329,0.4896688297103674,-0.044237880320461546,0.0742664183975693,0.5518770295095008,-0.6759610565421403,0.13726528529112658,1.4425427925512935e-06,-0.6317231762216788,0.11543941114044004,9.812093382244313e-08,False,True,True
GDP + Education + Growth,"log_gdp_per_capita, education_tertiary, gdp_growth",321,0.48912091458373974,-0.08836438173742076,0.068059208717424,0.19526029453518357,-0.733080578299653,0.1471481561668454,1.1164950155517772e-06,-0.6447161965622322,0.13046273020315205,1.3497122324235278e-06,False,True,True
GDP + R&D + Servers,"log_gdp_per_capita, rd_expenditure, secure_servers",326,0.5283430496756539,-0.04869147561202068,0.07506238195005138,0.5170787099610761,-0.6936377757205311,0.14339142920240197,2.1788183932613947e-06,-0.6449463001085104,0.1221750415784339,2.616505583308282e-07,False,True,True
GDP + High-Tech + Growth,"log_gdp_per_capita, high_tech_exports, gdp_growth",328,0.437478380900137,-0.05865333382835887,0.07699134144185664,0.4468079858677263,-0.7092677150050742,0.1520066698097032,4.7574574502107225e-06,-0.6506143811767153,0.1310662466450443,1.1991561850166477e-06,False,True,True
GDP + Reg + Growth + Density,"log_gdp_per_capita, regulatory_quality, gdp_growth, log_population_density",329,0.4782595270282808,-0.047914847466268055,0.07446855476234533,0.5204738237269457,-0.707521243845599,0.14826756044519113,2.9375565446798646e-06,-0.6596063963793309,0.12820960896896919,5.03497318504742e-07,False,True,True
GDP + Reg + Urban + Growth,"log_gdp_per_capita, regulatory_quality, urban_population, gdp_growth",329,0.4595586462415626,-0.07570335193689322,0.06847903100360984,0.269889971326126,-0.7248592484576146,0.14948238815443018,2.055993414851187e-06,-0.6491558965207214,0.13287440190329503,1.735324695273377e-06,False,True,True
